State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Bihar,BR,Araria,0,0,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,11,14,29,29,30,40,41,47,59,62,62,67,73,73,78,79,83,84,85,88,88,89,92,100,103,103,103,103,103,103,103,103,116,116,126,127,127,130,131,133,133,138,138,141,149,157,161,166,180,181,196,213,213,223,247,278,281,300,300,314,314,369,390,420,476,524,553,620,674,703,727,764,797,874,956,1062,1156,1192,1315,1386,1549,1834,
Bihar,BR,Arwal,4,4,4,4,4,4,4,5,5,5,5,5,5,8,11,11,12,12,12,12,12,15,14,17,17,17,21,23,30,33,34,40,41,43,45,48,47,47,50,52,52,54,54,58,59,66,67,70,70,70,73,80,80,81,81,91,91,91,91,95,96,96,101,104,105,110,110,114,117,117,120,125,127,139,144,150,155,166,186,193,202,217,229,242,257,275,292,304,324,359,384,417,432,461,483,502,539,581,595,605,632,660,693,732,776,803,827,861,882,946,977,
Bihar,BR,Aurangabad,2,7,7,8,8,8,8,13,13,13,13,14,14,14,15,15,17,18,18,18,22,22,22,26,26,26,34,48,50,59,59,62,63,67,67,74,74,74,74,75,81,84,85,85,88,95,114,117,123,129,136,138,141,145,146,168,168,169,174,182,190,193,202,210,219,230,232,261,281,283,287,287,287,294,301,302,302,323,326,338,348,350,359,414,461,494,494,525,529,531,555,603,670,745,854,883,940,1018,1071,1117,1149,1191,1219,1267,1351,1403,1448,1512,1589,1656,1755,
Bihar,BR,Banka,2,2,3,3,3,3,3,3,3,3,3,3,4,4,6,6,7,11,15,15,32,40,40,40,51,52,64,70,90,90,105,105,105,111,112,112,118,123,123,127,128,130,132,137,148,150,150,152,168,172,175,176,177,177,184,202,211,212,221,222,223,223,227,227,229,233,238,238,238,240,243,246,257,262,282,288,295,299,302,311,320,335,336,354,371,385,399,401,418,422,431,469,496,526,546,569,616,681,710,755,790,810,868,996,1055,1096,1135,1174,1200,1223,1276,
Bihar,BR,Begusarai,9,9,9,11,11,11,11,11,13,13,13,13,14,26,31,31,40,47,47,47,54,55,70,82,82,90,125,130,139,156,157,160,180,180,199,246,245,249,251,254,254,262,262,262,282,282,290,294,299,299,308,322,335,335,347,347,347,348,348,364,374,382,389,398,416,452,459,463,476,476,528,528,528,595,639,639,658,734,813,927,1002,1038,1066,1075,1076,1090,1090,1114,1143,1221,1334,1398,1441,1497,1567,1639,1710,1849,1918,2048,2123,2207,2273,2369,2579,2823,2994,3219,3473,3670,3816,
Bihar,BR,Bhagalpur,5,5,5,5,5,5,5,11,11,11,12,13,14,14,23,25,26,32,33,33,38,38,42,47,59,59,69,72,78,81,95,95,112,137,141,175,183,191,201,207,217,231,245,248,269,285,295,308,322,326,327,336,341,344,347,351,362,368,371,382,389,407,440,480,486,497,508,536,554,568,590,616,643,693,756,840,915,996,1074,1134,1259,1314,1455,1532,1601,1699,1780,1859,1942,2023,2172,2243,2280,2335,2392,2488,2551,2638,2808,2852,2911,3010,3138,3262,3353,3450,3524,3719,3789,3855,3920,
Bihar,BR,Bhojpur,2,9,9,11,11,12,18,18,18,18,18,18,18,19,20,20,21,28,29,30,36,36,38,38,38,38,39,39,40,47,47,47,54,66,81,83,89,89,93,93,99,103,111,112,110,129,138,140,146,145,145,150,150,150,150,150,157,159,160,165,166,166,209,219,220,229,233,246,253,273,276,281,288,290,292,292,299,339,372,418,432,486,541,591,677,753,784,806,836,870,987,1089,1166,1252,1413,1489,1571,1623,1673,1757,1820,1910,2000,2075,2194,2303,2386,2464,2559,2631,2712,
Bihar,BR,Buxar,25,25,26,40,40,51,53,56,56,56,56,56,56,56,56,56,56,59,59,59,59,62,62,64,64,75,113,114,114,114,114,114,114,115,117,118,117,118,122,122,123,126,130,140,144,145,147,153,154,158,158,158,162,164,200,200,201,205,205,205,210,210,224,226,226,227,227,228,230,232,240,240,244,258,269,274,281,308,309,335,352,374,391,423,427,451,497,517,579,591,643,695,737,831,890,942,1022,1102,1168,1217,1294,1335,1427,1515,1646,1711,1880,2042,2127,2245,2295,
Bihar,BR,Darbhanga,0,1,1,5,5,5,5,5,5,5,5,5,9,9,11,14,16,16,16,16,16,16,16,16,22,22,31,40,40,53,65,69,69,69,87,88,104,104,115,117,125,130,130,130,135,135,141,142,148,149,164,168,169,191,205,216,249,266,267,272,281,282,286,286,305,306,311,316,337,351,356,383,384,392,396,401,402,402,405,420,429,451,462,479,494,521,540,545,567,589,616,667,715,741,762,780,837,885,952,998,1042,1091,1131,1172,1213,1272,1317,1353,1411,1519,1633,
Bihar,BR,East Champaran,5,5,5,5,5,5,5,9,9,9,9,9,10,10,14,14,14,15,15,15,16,19,19,19,19,30,62,62,73,73,83,83,94,94,97,97,106,111,115,116,119,127,130,130,131,136,136,140,140,143,155,159,160,160,163,167,167,167,167,167,174,174,176,177,210,217,220,223,242,242,245,260,271,279,290,311,322,335,346,470,491,528,550,602,626,642,677,678,733,792,892,912,958,970,1046,1186,1222,1299,1382,1478,1543,1646,1836,2024,2163,2325,2466,2674,2843,3063,3238,
Bihar,BR,Gaya,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,11,11,18,31,41,44,48,53,53,65,68,73,79,81,86,91,95,105,109,117,123,120,125,129,130,134,135,141,145,159,162,162,172,172,172,172,184,184,193,193,199,202,210,215,224,232,266,275,276,306,321,331,332,370,405,470,522,565,607,632,768,826,889,987,1070,1189,1336,1470,1583,1674,1819,1891,1957,2083,2209,2300,2391,2454,2530,2607,2694,2790,2873,2965,3137,3244,3423,3555,
Bihar,BR,Gopalganj,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,20,22,24,24,24,32,32,63,63,64,81,89,89,92,95,99,99,101,109,109,109,112,114,116,126,129,132,134,136,148,146,153,153,155,167,167,173,174,174,209,210,210,217,217,222,227,241,246,249,255,256,261,289,291,304,309,315,318,379,396,396,419,449,471,493,516,534,562,588,628,638,640,658,671,678,704,744,770,817,859,888,946,1038,1113,1140,1174,1204,1228,1318,1420,1535,1599,1671,1732,1786,1854,
