State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Bihar,BR,Araria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,2,5,5,5,6,6,12,12,12,13,16,16,28,29,39,39,49,59,67,73,75,75,80,80,80,81,81,82,82,82,82,85,100,100,100,102,102,102,111,116,116,116,116,117,121,122,124,125,127,136,145,149,153,157,167,179,179,198,198,215,232,256,286,303,340,347,395,398,400,404,420,441,454,488,538,574,636,683,722,756,817,
Bihar,BR,Arwal,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,9,10,10,10,15,15,15,25,25,32,32,33,38,38,38,40,43,43,43,46,46,46,53,53,53,55,57,64,66,67,67,70,73,76,77,81,87,87,93,94,96,96,101,106,106,109,113,113,115,117,119,129,141,150,153,160,176,186,186,210,215,224,241,250,275,291,310,324,371,397,418,430,445,474,493,493,523,566,595,598,621,634,
Bihar,BR,Aurangabad,0,0,0,0,0,0,0,0,0,0,0,6,6,8,8,11,11,11,12,12,12,12,12,12,12,12,14,14,14,18,18,23,27,27,27,27,27,27,40,46,46,46,46,53,53,62,62,62,67,74,74,80,80,100,100,123,123,123,127,127,141,152,168,170,187,187,198,198,198,198,198,198,198,198,198,218,264,266,276,307,325,330,330,330,344,349,352,355,362,364,370,390,453,511,547,582,598,611,632,654,687,740,766,818,884,951,1000,1043,1043,1140,1179,
Bihar,BR,Banka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,5,7,7,23,49,49,59,59,66,67,67,80,80,80,80,95,95,95,95,95,95,128,130,130,130,130,168,168,168,168,172,172,197,198,198,198,212,215,227,227,227,227,227,230,235,235,239,253,253,256,263,265,267,280,303,303,310,312,314,348,356,363,383,400,402,425,428,428,428,430,439,483,507,528,546,579,656,692,728,761,824,
Bihar,BR,Begusarai,1,1,5,5,5,5,5,5,5,5,5,8,8,8,8,8,9,9,10,13,13,13,20,20,20,20,21,25,25,26,31,34,52,52,52,78,84,85,104,111,114,114,117,117,184,200,206,230,244,249,259,262,264,275,275,275,276,282,285,285,330,337,337,338,343,343,359,364,364,373,373,384,393,394,443,472,472,517,518,518,519,520,585,687,688,756,811,907,908,1056,1060,1099,1142,1147,1152,1152,1209,1221,1254,1293,1349,1399,1450,1518,1627,1727,1775,1934,1999,2079,2159,
Bihar,BR,Bhagalpur,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,8,8,8,8,8,12,12,12,12,27,29,29,27,29,35,53,53,53,53,67,71,84,85,85,85,85,129,141,150,159,162,182,197,203,222,231,245,252,266,281,294,305,318,320,321,332,336,342,343,346,358,360,375,427,437,452,472,502,538,554,587,625,641,691,759,821,913,965,1059,1152,1217,1287,1322,1481,1526,1648,1717,1738,1820,1943,2030,2053,2143,2223,2312,2316,2383,2427,2502,2619,2708,2839,2895,2965,
Bihar,BR,Bhojpur,1,1,1,1,1,1,1,1,1,1,1,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,23,23,23,23,23,23,25,25,25,25,34,34,39,39,39,39,39,39,74,74,75,75,75,75,75,80,80,80,91,127,127,127,137,137,137,137,138,157,157,157,157,157,157,159,190,192,201,208,217,223,249,294,314,319,338,343,359,366,368,372,439,504,508,521,593,682,721,758,864,1008,1044,1103,1141,1186,1220,1284,1320,1368,1434,1509,1574,1639,1655,1778,1850,
Bihar,BR,Buxar,1,1,1,1,5,5,10,11,11,18,18,19,45,54,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,59,91,91,92,92,92,92,95,95,104,104,104,104,104,104,112,113,113,116,120,125,125,128,137,137,137,144,145,145,147,164,195,196,199,209,209,209,209,217,217,218,219,224,224,224,230,242,242,242,243,252,260,284,293,298,307,325,333,375,408,430,431,474,504,549,582,649,666,713,745,772,830,923,962,1007,1058,1174,1226,1314,1389,
Bihar,BR,Darbhanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,7,7,7,7,8,15,15,15,15,15,15,24,43,46,54,54,54,54,61,75,75,76,105,105,105,105,127,128,138,140,147,149,159,159,171,186,187,212,212,257,258,262,264,264,264,270,275,292,295,298,326,339,348,364,369,382,385,391,391,397,409,432,434,441,448,464,483,501,517,518,546,584,599,611,635,675,707,738,775,819,863,905,949,1004,1043,
Bihar,BR,East Champaran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,9,9,9,9,9,9,11,11,11,12,11,12,12,29,29,29,35,38,49,49,65,65,66,66,66,72,83,94,96,118,122,122,124,133,134,146,147,147,150,150,156,157,157,164,164,164,164,164,201,201,202,221,225,232,232,232,239,258,268,289,399,400,470,484,491,498,519,534,539,587,684,717,738,765,814,846,953,982,1008,1031,1073,1089,1111,1151,1181,1245,1268,1378,1453,1550,1621,
