State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Chhattisgarh,CT,Balod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,11,11,13,14,18,18,18,18,24,24,24,24,24,27,28,31,34,37,37,41,41,41,41,41,41,41,41,41,41,42,42,42,44,44,44,44,44,44,44,44,44,44,46,46,51,52,52,53,53,53,53,54,55,59,59,67,68,67,68,68,77,77,77,77,77,79,80,85,85,87,89,89,89,89,91,94,94,95,96,96,102,105,107,109,111,111,116,140,149,
Chhattisgarh,CT,Baloda Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,8,8,12,15,19,19,19,20,20,20,20,20,20,23,59,66,81,96,102,117,120,120,120,122,135,138,141,172,180,194,202,202,219,219,223,225,225,229,233,237,245,246,248,248,248,245,245,253,256,256,257,291,291,294,296,296,297,300,301,303,310,310,310,311,312,319,323,341,355,363,381,385,389,394,404,404,409,423,434,443,463,481,486,494,504,522,525,
Chhattisgarh,CT,Balrampur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,9,9,9,10,16,16,16,16,17,17,18,17,22,22,22,32,32,34,37,65,67,71,71,93,94,100,101,102,111,111,114,118,128,129,129,132,132,139,145,145,145,146,146,146,151,153,153,154,154,162,163,164,164,165,166,171,173,173,173,184,186,186,186,189,190,191,195,195,197,197,223,223,233,233,235,246,247,247,247,248,248,
Chhattisgarh,CT,Bametara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,15,15,15,15,15,15,20,20,20,20,20,20,21,24,25,26,27,27,38,37,37,37,41,41,41,41,43,45,45,45,46,46,46,46,48,49,49,62,62,71,71,74,75,81,83,84,84,84,88,88,91,100,100,103,109,109,109,112,112,120,120,123,127,127,127,127,127,128,128,128,128,129,130,133,138,139,146,160,183,184,195,
Chhattisgarh,CT,Bastar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,18,21,23,23,40,40,52,52,52,61,64,64,65,65,65,65,76,101,101,102,108,118,136,147,168,170,188,191,192,196,198,199,199,236,254,282,296,308,317,321,328,354,369,391,
Chhattisgarh,CT,Bijapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,4,4,17,17,17,18,18,18,18,18,18,36,36,43,45,54,55,64,64,75,75,75,75,75,75,75,84,84,85,85,88,88,94,96,108,113,115,116,119,
Chhattisgarh,CT,Bilaspur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,11,19,37,40,42,43,47,49,49,50,61,64,66,83,98,98,99,105,105,106,150,150,158,160,167,168,168,168,170,171,171,172,172,172,172,172,173,182,182,182,185,194,200,224,229,238,247,267,273,286,292,292,295,309,318,350,367,431,435,445,453,472,480,482,508,530,602,620,635,647,654,663,669,669,679,680,745,774,843,873,880,897,914,940,960,
Chhattisgarh,CT,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,6,6,14,18,23,26,26,27,29,33,35,52,52,51,51,52,59,59,61,64,69,92,95,95,96,98,99,110,110,113,113,116,134,134,135,135,135,135,135,137,139,140,145,159,159,163,163,
Chhattisgarh,CT,Dhamtari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,18,18,24,24,25,27,27,30,30,30,31,34,34,35,35,35,37,40,40,41,39,42,43,44,46,47,60,60,62,64,67,68,71,
Chhattisgarh,CT,Durg,1,1,1,1,1,1,1,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,11,11,11,12,13,14,16,17,22,41,41,41,43,46,49,58,64,66,72,74,86,87,93,96,97,108,109,109,123,131,138,168,169,169,166,167,169,169,170,172,178,183,188,189,204,229,230,247,264,289,307,315,324,332,360,366,394,502,586,635,655,677,690,709,764,783,820,875,924,977,1026,1047,1084,1125,1184,1215,1258,1318,
