State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Chhattisgarh,CT,Balod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,10,10,10,11,11,11,12,12,13,19,19,19,20,21,21,21,24,35,35,35,35,35,41,41,41,41,41,41,41,41,42,42,42,42,43,43,44,45,46,46,46,50,52,53,54,54,55,55,55,55,55,55,55,55,59,59,64,65,67,69,69,78,78,78,78,85,86,86,86,89,91,92,92,93,93,96,99,100,100,100,101,108,108,
Chhattisgarh,CT,Baloda Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,7,7,7,7,7,12,13,13,14,14,14,15,58,60,65,84,90,95,112,115,117,120,129,129,133,172,200,200,200,200,218,221,221,225,222,222,222,236,239,241,247,247,247,247,247,255,259,259,259,264,290,294,296,298,298,299,299,304,311,314,314,324,324,325,336,348,354,362,371,384,385,389,392,392,400,414,414,414,428,
Chhattisgarh,CT,Balrampur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,8,8,8,8,8,8,8,15,18,29,30,30,37,65,71,72,72,72,72,94,97,97,103,105,105,115,115,123,123,130,130,130,130,133,133,133,133,146,147,147,153,153,157,158,159,165,165,165,166,168,168,168,168,170,173,185,187,187,189,189,191,192,192,199,200,200,226,226,230,240,243,245,
Chhattisgarh,CT,Bametara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,8,12,13,13,14,14,14,14,19,19,19,19,20,22,25,27,27,28,38,38,38,41,41,41,41,44,44,44,46,48,48,48,48,49,53,53,60,63,69,69,71,72,77,78,78,81,88,92,92,96,97,100,101,108,108,108,111,116,121,122,126,127,127,127,127,127,127,128,128,128,134,134,134,134,138,
Chhattisgarh,CT,Bastar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,6,6,7,7,7,7,7,7,14,25,25,25,42,44,44,52,61,61,64,68,68,68,74,74,74,74,100,100,100,104,104,126,132,132,149,152,153,155,174,181,185,189,192,209,209,212,220,221,231,
Chhattisgarh,CT,Bijapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,4,5,5,6,6,6,10,10,10,10,15,15,15,15,15,16,16,40,56,56,56,58,58,58,58,81,81,81,81,81,83,83,83,83,83,86,
Chhattisgarh,CT,Bilaspur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,6,10,14,17,25,25,33,33,33,60,60,60,63,82,83,128,134,141,141,154,165,165,170,170,170,170,170,170,175,175,175,175,175,176,176,187,186,191,201,201,225,228,239,239,250,263,267,273,280,303,310,336,336,346,410,426,443,449,470,472,517,542,549,559,578,591,620,628,644,661,676,682,700,708,714,780,788,
Chhattisgarh,CT,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,8,18,18,18,18,18,27,27,27,27,32,45,52,52,58,62,62,69,69,69,69,73,87,102,104,107,114,114,120,122,126,127,129,131,131,131,131,138,138,138,138,138,138,144,
Chhattisgarh,CT,Dhamtari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,21,21,23,23,26,28,30,31,31,31,32,32,32,32,32,32,37,38,38,38,39,42,57,57,57,57,61,62,
Chhattisgarh,CT,Durg,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,19,19,19,27,31,32,36,37,42,42,50,58,60,63,78,82,87,98,101,105,105,117,125,132,145,161,164,165,165,167,168,170,170,170,172,175,175,179,194,200,217,237,272,283,290,304,318,324,354,366,385,503,567,596,619,667,680,690,750,770,776,800,819,828,841,855,865,
