State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Gujarat,GJ,Ahmedabad,140,212,241,263,316,399,462,533,620,704,778,886,1001,1107,1373,1482,1874,2112,2247,2382,2545,2660,2841,3023,3130,3330,3658,3864,4051,4187,4623,4950,5331,5799,6317,6918,7708,8727,8932,9228,9479,9689,9912,10130,10378,10644,10875,11118,11373,11597,11822,12057,12280,12561,12767,13185,13612,14013,14434,14835,15051,15261,15479,15660,15831,15968,16093,16254,16385,16613,16829,17069,17193,17363,17502,17663,17789,17922,18047,18227,18439,18627,18792,18961,19128,19328,19533,19745,19948,20153,20323,20491,20954,21120,21237,21356,21468,21585,21692,21801,21908,22035,22152,22272,22393,22499,22612,22816,23038,23273,23520,
Gujarat,GJ,Amreli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,6,6,8,9,9,9,9,9,10,11,11,11,11,13,13,14,17,21,23,25,28,29,32,33,36,42,42,46,46,48,48,66,75,78,80,83,85,88,90,93,95,109,116,116,135,149,161,165,169,175,186,195,202,230,234,241,254,273,296,311,324,347,358,375,400,406,425,425,452,
Gujarat,GJ,Anand,14,15,18,23,24,30,31,34,37,37,38,43,46,46,63,70,70,70,70,70,71,74,74,74,75,75,75,75,75,77,77,77,77,78,82,82,84,87,87,91,91,91,91,92,93,95,99,101,101,104,107,108,111,118,126,126,126,132,134,139,147,157,165,168,178,184,192,192,202,210,210,211,216,227,233,241,247,254,267,273,285,295,303,311,318,325,333,341,345,352,358,362,370,374,389,399,402,416,424,443,443,464,475,484,495,508,523,532,542,548,548,
Gujarat,GJ,Aravalli,0,0,0,0,0,0,6,8,13,14,14,14,14,16,22,22,22,22,22,41,62,69,73,75,75,75,76,77,77,77,77,78,88,97,99,100,103,106,106,107,111,111,112,112,114,115,117,118,119,119,121,123,123,125,126,129,132,136,139,144,144,152,160,161,163,167,168,172,172,179,179,183,190,197,199,203,209,210,210,214,216,219,222,223,229,229,233,234,237,237,242,244,248,252,252,255,259,259,262,263,266,267,271,274,277,281,281,283,284,284,284,
Gujarat,GJ,Banaskantha,1,1,1,1,4,4,14,14,14,14,14,22,25,25,33,33,36,36,41,49,54,67,73,77,78,78,78,78,78,78,78,78,80,83,87,89,89,89,97,97,97,100,101,101,107,107,107,115,117,122,122,122,132,135,135,139,139,139,139,139,143,145,145,151,151,153,153,155,155,155,162,163,176,182,184,184,184,222,224,284,284,304,313,326,343,352,365,368,374,374,419,446,446,472,494,592,605,605,605,752,752,752,752,752,752,791,809,829,840,854,854,
Gujarat,GJ,Bharuch,14,14,14,16,20,20,21,21,22,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,28,28,28,28,29,29,29,34,34,34,34,34,34,34,34,34,34,35,35,35,37,37,41,41,42,46,46,46,53,53,60,60,79,79,90,93,100,100,104,106,117,131,131,138,138,159,163,163,183,192,210,228,246,246,271,287,307,339,339,365,385,413,420,420,462,476,489,538,549,571,597,609,609,690,705,730,757,771,787,808,832,852,870,887,902,
Gujarat,GJ,Bhavnagar,18,19,20,21,21,21,21,21,21,21,21,21,23,27,42,42,42,46,46,69,69,74,75,75,84,84,86,88,91,91,91,97,99,99,102,102,103,103,103,105,105,106,107,107,109,109,114,115,115,118,118,119,121,122,124,128,135,136,139,145,146,147,147,150,150,150,150,152,152,155,156,156,189,193,200,212,222,222,223,227,233,237,253,265,426,429,479,595,647,685,732,774,806,848,913,913,958,984,1047,1113,1177,1223,1264,1324,1347,1399,1452,1481,1526,1600,1639,
Gujarat,GJ,Botad,0,0,2,2,2,2,2,3,6,6,8,8,11,13,16,18,22,22,29,41,44,49,49,51,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,62,62,62,62,63,65,65,65,65,65,65,69,69,69,69,73,73,75,76,78,81,81,86,87,87,87,87,87,87,123,124,136,136,136,136,144,147,158,158,184,198,198,198,198,211,211,223,247,247,247,267,267,280,
Gujarat,GJ,Chhota Udaipur,3,3,5,6,6,6,6,10,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,17,17,21,21,21,21,21,22,23,23,23,23,23,23,23,23,23,23,32,32,32,33,33,33,33,34,35,35,35,35,36,36,37,37,37,37,37,37,37,37,37,39,43,43,43,43,50,51,52,52,54,55,55,56,56,56,60,60,66,69,69,70,76,80,82,82,97,98,100,107,108,114,121,121,149,149,157,166,171,171,177,177,181,184,189,
Gujarat,GJ,Dahod,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,5,5,11,11,16,16,16,16,16,18,18,18,18,18,18,22,22,26,26,26,28,32,32,32,32,32,32,32,32,32,34,34,35,36,40,40,41,42,42,43,43,43,44,44,44,44,44,44,44,46,46,47,47,49,49,49,49,52,52,52,52,56,56,56,61,61,61,61,61,61,61,61,61,61,72,106,107,120,128,137,146,146,185,185,185,185,185,386,419,419,475,492,502,546,573,
