State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Haryana,HR,Ambala,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,38,38,38,38,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,43,47,53,53,53,53,55,65,65,73,83,91,109,109,142,153,155,161,167,182,193,220,220,256,273,292,293,309,311,315,315,315,332,332,357,357,377,398,398,399,434,439,439,547,596,656,728,831,911,946,998,1006,1052,1095,1149,1182,1215,1302,1360,1398,1432,1495,1527,1600,1648,1697,1740,1810,1860,1962,2050,
Haryana,HR,Bhiwani,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,11,30,30,33,35,45,50,50,50,53,70,74,79,81,81,85,85,96,105,107,117,125,125,125,177,185,185,185,349,377,401,420,434,443,458,470,487,518,535,583,591,601,617,636,649,662,681,689,696,699,712,722,725,725,735,739,746,752,758,762,767,773,776,778,783,791,796,801,810,
Haryana,HR,Charkhi Dadri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,56,56,56,56,56,79,79,79,79,79,79,82,86,86,86,87,88,88,92,92,92,93,93,97,97,97,97,97,107,107,120,120,120,129,136,136,136,139,
Haryana,HR,Faridabad,29,37,40,41,41,42,42,42,42,43,43,43,54,55,55,55,57,58,62,75,77,77,77,86,86,90,104,115,120,120,120,120,138,138,153,168,168,168,168,168,171,183,183,183,196,306,306,348,348,385,385,387,437,596,683,707,918,1052,1228,1306,1497,1735,1829,1829,2103,2401,2581,2781,3174,3519,3609,3714,3794,3849,3987,4119,4245,4387,4551,4671,4741,4861,4996,5076,5161,5161,5313,5411,5553,5673,5782,6052,6217,6356,6521,6915,7295,7547,7694,8106,8286,8405,8622,8807,8968,9155,9259,9332,9494,9599,9733,
Haryana,HR,Fatehabad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,6,6,6,6,7,7,7,7,7,7,7,8,9,9,12,15,15,17,23,24,29,31,39,39,45,46,53,55,57,57,67,67,78,78,86,87,88,88,90,92,94,94,99,102,106,106,106,114,114,116,116,116,126,131,134,138,142,142,150,150,159,159,173,177,177,177,183,197,202,202,214,239,249,253,253,266,290,310,315,315,341,348,362,
Haryana,HR,Gurugram,35,36,36,36,38,38,38,38,47,47,51,51,51,51,51,51,54,62,62,67,90,104,114,114,131,131,131,140,148,166,183,193,193,224,224,284,284,284,288,292,332,343,451,579,640,824,860,976,1161,1265,1776,1915,1950,2171,2293,2409,2525,2627,2744,2877,3041,3267,3469,3748,3883,3962,4079,4291,4426,4497,4829,5011,5118,5228,5378,5508,5609,5729,5809,5933,6078,6198,6319,6469,6604,6694,6792,6911,6996,7111,7239,7409,7559,7680,7772,7877,7984,8124,8253,8353,8468,8563,8654,8727,8841,8941,9004,9070,9152,9197,9303,
Haryana,HR,Hisar,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,12,22,22,28,35,36,52,59,65,65,68,72,72,87,89,91,94,94,96,101,101,120,120,120,145,153,161,161,181,188,192,192,192,194,203,203,206,225,232,242,242,281,284,291,319,337,353,353,383,383,415,534,540,565,580,602,611,614,659,684,697,715,735,767,786,804,823,830,847,847,1020,1040,
Haryana,HR,Italians,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
Haryana,HR,Jhajjar,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,24,24,24,28,53,53,60,62,84,89,90,90,90,90,90,90,90,92,92,92,92,92,92,92,96,96,96,97,99,99,99,100,104,104,108,108,108,108,112,129,129,132,132,136,143,150,150,180,180,186,197,209,213,244,244,247,268,274,282,324,326,339,345,345,399,430,442,459,480,495,505,532,539,570,596,621,649,671,694,719,729,740,740,765,778,795,801,804,819,826,836,853,873,885,
Haryana,HR,Jind,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,15,15,15,15,15,15,18,18,18,18,18,18,18,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,28,29,29,30,36,36,36,36,36,36,36,36,75,75,75,75,75,88,91,91,91,91,93,93,96,96,113,113,113,113,117,117,117,137,167,167,167,167,167,167,167,167,167,191,191,191,191,191,191,191,191,191,191,223,248,248,249,249,249,301,
