State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Himachal Pradesh,HP,Bilaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,7,7,7,7,7,7,8,11,11,18,18,18,18,18,18,18,19,20,21,21,22,22,22,24,24,24,24,29,29,29,29,29,31,32,32,37,37,38,38,38,43,44,44,44,46,47,47,47,47,48,48,48,48,51,51,52,52,52,63,63,63,63,63,66,66,66,67,68,68,73,84,87,87,88,88,99,101,110,127,127,134,138,138,147,148,148,148,155,160,172,181,182,
Himachal Pradesh,HP,Chamba,6,6,6,6,6,6,6,6,6,6,6,8,9,9,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,18,20,20,20,20,20,20,24,24,25,28,29,30,32,32,32,32,34,35,35,36,39,39,42,43,43,43,44,44,46,50,50,51,51,51,52,52,52,52,54,54,54,58,58,58,58,59,59,61,61,68,71,71,78,78,78,80,80,84,86,86,93,93,96,103,103,103,105,109,113,117,119,136,137,150,193,216,216,230,254,267,279,283,292,295,
Himachal Pradesh,HP,Hamirpur,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,6,6,7,7,8,10,15,15,15,46,60,60,62,63,78,93,93,101,107,111,112,112,114,118,120,121,123,123,124,124,126,131,131,131,134,134,141,141,155,166,166,182,205,221,225,228,238,238,243,245,250,253,256,265,265,267,267,268,268,271,272,272,276,276,276,278,278,279,281,283,285,286,288,291,293,299,300,302,304,304,306,307,313,315,318,318,339,339,347,360,369,370,370,389,394,407,414,414,
Himachal Pradesh,HP,Kangra,5,5,5,5,5,5,5,5,5,5,6,6,7,8,9,10,16,17,18,19,20,20,21,22,35,41,43,49,51,59,62,65,69,74,79,87,87,90,94,98,101,105,109,109,115,118,126,128,138,142,145,147,155,158,166,170,181,191,208,211,228,244,251,262,268,272,278,280,282,283,288,290,291,298,298,300,303,309,312,314,314,319,322,329,334,346,353,359,370,385,389,410,426,430,443,452,460,468,476,482,492,496,500,512,520,529,533,539,552,554,562,575,614,616,
Himachal Pradesh,HP,Kinnaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,7,8,8,8,13,30,34,34,34,34,34,34,34,35,35,35,35,36,36,36,39,39,39,39,39,39,39,41,41,41,41,41,44,45,45,45,45,45,45,45,46,46,46,46,48,48,48,58,59,59,59,59,
Himachal Pradesh,HP,Kullu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,8,8,14,14,19,20,20,21,22,22,22,24,24,24,24,24,33,35,35,37,37,37,39,39,86,92,96,101,103,104,121,190,200,208,227,227,
Himachal Pradesh,HP,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,
Himachal Pradesh,HP,Mandi,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,10,11,11,11,11,12,12,12,12,13,15,17,20,20,20,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,25,27,28,30,30,32,33,34,34,35,36,36,37,38,38,38,39,40,40,40,44,46,47,48,50,50,53,60,86,101,111,121,126,133,157,165,172,183,213,220,220,227,228,236,250,270,271,273,287,290,304,317,317,
Himachal Pradesh,HP,Shimla,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,9,9,9,9,9,9,9,9,10,11,12,12,13,13,13,14,15,15,19,21,22,22,22,26,26,30,30,33,36,37,39,39,39,40,40,40,41,47,47,47,47,47,49,49,52,55,55,59,60,62,62,63,69,71,71,94,97,120,121,124,125,143,148,151,159,165,165,168,178,180,182,184,188,196,197,204,207,207,207,216,217,230,231,233,
Himachal Pradesh,HP,Sirmaur,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,12,20,22,23,26,27,27,27,27,28,28,28,30,32,34,34,34,36,37,37,38,38,38,39,40,40,40,40,40,40,41,41,41,42,46,46,46,47,48,58,63,89,110,123,130,172,201,226,242,273,300,305,327,330,345,346,350,355,355,364,379,403,414,434,442,462,471,479,487,513,515,
