State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Himachal Pradesh,HP,Bilaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,7,7,7,7,7,8,8,9,9,9,12,12,12,12,13,16,17,17,17,19,19,21,21,23,23,23,23,23,26,26,26,28,28,28,28,28,28,29,32,34,34,37,37,37,38,38,38,38,41,41,45,47,47,48,48,48,50,51,51,51,51,51,53,56,63,64,65,66,66,66,69,70,70,74,74,83,83,103,107,112,116,119,
Himachal Pradesh,HP,Chamba,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,10,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,15,18,18,18,20,23,25,27,27,28,28,31,31,34,34,35,35,35,35,37,38,40,41,41,44,45,45,46,46,46,47,47,47,47,47,50,51,51,51,54,54,55,56,56,57,57,61,64,65,68,68,70,70,70,70,74,74,74,77,82,85,86,86,86,86,86,92,110,110,123,131,176,197,
Himachal Pradesh,HP,Hamirpur,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,6,6,7,9,13,28,30,30,39,39,49,56,58,67,68,78,78,85,92,96,104,107,107,109,109,109,109,111,111,111,114,114,118,120,120,139,139,161,166,175,178,186,195,203,211,212,225,234,234,242,242,261,262,264,264,267,267,270,273,273,273,273,276,276,279,279,279,279,279,279,285,285,285,285,285,288,298,298,305,305,309,309,321,337,345,
Himachal Pradesh,HP,Kangra,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,12,12,13,13,16,16,18,20,24,28,32,32,33,39,48,50,50,59,59,63,64,67,71,74,80,87,99,99,100,100,114,118,120,120,122,123,134,136,145,153,158,167,168,185,193,200,211,221,227,233,248,249,263,264,270,273,274,284,287,292,295,296,302,303,305,305,311,311,313,321,325,333,334,341,360,368,374,391,406,410,417,424,441,447,459,471,477,484,493,
Himachal Pradesh,HP,Kinnaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,21,21,21,22,22,22,24,24,24,24,24,27,27,34,34,34,34,34,34,34,34,36,36,41,41,43,43,43,44,44,44,44,
Himachal Pradesh,HP,Kullu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,9,9,15,17,17,17,17,18,18,18,18,18,20,26,26,30,30,32,32,39,39,58,58,58,
Himachal Pradesh,HP,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Himachal Pradesh,HP,Mandi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,8,8,8,9,9,9,9,9,10,12,13,15,17,17,18,19,19,19,19,19,20,20,21,21,21,21,21,21,21,22,22,22,23,24,25,26,26,26,28,29,30,30,30,30,30,30,33,36,36,36,36,38,38,38,38,41,42,42,43,43,46,46,60,60,67,78,88,109,114,120,125,148,159,177,179,179,192,
Himachal Pradesh,HP,Shimla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,9,9,9,9,11,11,11,11,11,13,13,13,13,16,16,17,17,17,17,21,22,23,27,32,32,32,37,37,37,37,41,41,41,41,41,41,41,43,43,43,43,50,50,55,55,55,57,63,63,62,75,80,82,98,108,109,114,127,136,139,139,150,150,158,161,161,163,169,
Himachal Pradesh,HP,Sirmaur,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,7,7,7,7,8,8,10,10,10,17,17,17,17,17,17,17,23,23,23,23,25,26,26,26,26,29,29,29,29,33,33,33,33,33,33,33,33,33,33,33,40,40,40,55,55,55,115,115,148,148,171,204,208,233,267,279,282,318,328,332,332,332,332,342,354,371,
Himachal Pradesh,HP,Solan,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,10,10,11,11,11,12,14,14,17,25,25,25,25,26,27,27,27,30,30,30,30,30,41,42,43,44,49,51,55,56,59,61,66,74,74,76,91,96,97,98,99,99,104,104,104,113,113,130,130,136,141,155,155,176,176,177,177,205,233,239,271,288,292,315,319,344,369,452,474,474,474,512,512,575,589,589,609,
