State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Jammu and Kashmir,JK,Anantnag,48,54,62,71,83,95,99,109,109,110,121,122,122,122,123,123,127,145,145,145,162,177,236,247,252,264,266,272,273,278,278,282,289,295,314,338,350,350,350,377,383,386,445,459,463,470,483,484,485,490,569,579,583,587,588,591,606,608,614,622,622,627,633,635,650,666,674,692,713,717,720,721,729,755,764,775,781,788,802,860,933,939,988,1032,1060,1071,1097,1098,1131,1131,1151,1176,1229,1233,1258,1278,1299,1311,1339,1374,1411,1417,1490,1498,1521,1553,1569,1612,1665,1680,1709,
Jammu and Kashmir,JK,Bandipora,124,127,127,127,127,128,128,128,130,132,132,134,134,134,134,134,134,134,134,135,135,135,137,137,138,138,139,140,140,140,144,146,146,146,147,147,147,152,161,176,180,194,215,224,225,229,233,233,236,239,242,246,248,251,258,260,270,273,278,280,283,284,288,289,291,294,294,296,298,303,307,308,316,323,328,336,336,365,385,401,419,421,423,428,455,464,478,483,525,561,591,632,652,675,678,711,733,755,779,815,820,865,914,962,972,1022,1101,1168,1197,1251,1301,
Jammu and Kashmir,JK,Baramulla,62,67,72,73,84,85,88,91,103,104,104,105,106,106,108,109,109,110,110,116,118,118,119,121,129,129,132,136,137,137,143,153,169,177,217,232,238,245,272,301,308,317,449,482,487,495,497,504,512,515,521,525,532,552,561,582,599,617,633,670,685,748,800,806,816,860,909,928,949,1006,1023,1064,1094,1176,1214,1251,1288,1319,1325,1337,1381,1399,1464,1527,1580,1623,1651,1709,1738,1740,1758,1772,1783,1813,1835,1877,1901,1924,1931,1954,1968,1997,2041,2073,2093,2137,2178,2231,2257,2303,2351,
Jammu and Kashmir,JK,Budgam,14,15,15,19,20,21,21,26,30,30,30,31,46,46,46,46,46,53,53,53,58,58,59,59,59,63,64,64,64,64,76,78,89,89,99,110,110,118,124,129,138,142,160,200,209,211,214,220,228,239,245,259,264,289,291,311,326,346,346,347,347,358,371,393,397,416,422,434,439,466,486,489,499,504,522,528,532,561,572,586,628,662,708,749,770,865,948,950,984,984,1040,1128,1151,1183,1228,1248,1277,1291,1297,1336,1345,1386,1438,1462,1523,1533,1568,1609,1641,1677,1714,
Jammu and Kashmir,JK,Doda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,5,5,26,27,27,30,35,36,41,42,42,43,46,49,57,63,63,63,63,63,63,67,67,68,70,71,72,72,72,74,77,77,80,86,89,90,93,93,106,120,123,124,124,128,134,148,152,154,154,158,161,193,200,206,210,210,228,242,257,259,265,269,269,288,291,292,299,299,299,302,302,311,315,317,324,327,331,
Jammu and Kashmir,JK,Ganderbal,14,14,14,14,14,14,14,14,14,14,15,16,19,23,23,23,23,23,23,23,23,23,24,25,25,27,27,27,27,27,31,31,31,31,32,32,34,34,37,41,42,42,56,57,58,58,59,59,61,61,63,63,64,65,66,67,68,68,73,76,82,82,86,90,91,92,103,110,118,121,119,120,134,138,153,160,161,201,201,205,211,222,251,267,291,301,307,307,309,309,318,349,351,384,387,401,411,421,434,490,518,560,603,630,654,672,689,734,773,815,849,
Jammu and Kashmir,JK,Jammu,26,26,26,26,26,26,26,26,27,27,29,31,31,31,32,35,35,38,38,39,39,45,47,47,67,68,68,72,78,99,109,113,121,128,130,136,144,157,167,178,190,200,222,234,238,242,253,261,267,273,279,279,279,290,298,309,309,310,311,318,322,322,325,333,336,348,359,363,376,388,397,403,415,417,429,452,473,488,513,524,539,553,569,584,624,636,651,665,712,757,823,860,897,940,989,1027,1070,1122,1187,1259,1300,1361,1412,1473,1513,1555,1613,1685,1727,1776,1843,
Jammu and Kashmir,JK,Kathua,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,13,17,17,21,31,32,34,36,37,40,40,41,45,49,53,56,59,65,71,74,79,81,80,83,94,105,107,118,121,123,123,149,155,159,160,162,163,175,182,189,194,196,201,203,206,211,211,214,227,232,232,232,242,242,249,254,260,261,265,272,292,300,316,326,326,328,349,352,360,373,386,396,404,433,460,465,475,494,511,511,522,530,535,547,551,559,565,574,589,594,602,612,626,636,645,
Jammu and Kashmir,JK,Kishtwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,6,6,7,7,7,7,7,7,7,7,7,11,11,12,17,17,17,17,17,21,21,21,22,22,22,23,23,23,23,23,24,25,25,25,25,25,25,27,27,27,27,27,27,29,29,29,29,39,40,44,44,45,46,50,55,58,58,68,68,68,90,90,90,92,96,106,106,129,129,134,136,137,145,147,155,155,157,159,159,163,163,165,170,175,176,180,
Jammu and Kashmir,JK,Kulgam,6,6,6,7,11,11,11,11,11,11,12,12,20,21,31,42,69,72,72,72,119,147,159,166,171,192,193,198,224,227,228,255,255,274,278,295,301,312,313,362,364,367,528,538,540,568,570,572,617,633,634,643,650,653,666,675,681,693,709,711,744,751,759,766,767,831,831,846,851,854,859,908,924,928,930,963,986,1000,1021,1028,1076,1097,1113,1140,1147,1147,1186,1248,1354,1437,1443,1445,1468,1475,1491,1493,1504,1508,1512,1523,1524,1552,1572,1593,1594,1609,1619,1642,1659,1674,1688,
