State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Jammu and Kashmir,JK,Anantnag,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,12,12,17,23,26,28,35,61,87,89,89,109,109,109,109,113,118,120,120,122,122,124,126,152,155,155,163,163,220,255,305,315,338,361,376,385,386,410,423,424,425,426,428,443,443,456,456,457,463,543,548,551,552,554,554,564,564,564,583,590,591,592,597,597,597,638,638,646,679,704,708,716,716,718,721,728,802,924,924,950,994,1019,1025,1038,1070,1115,1129,1153,1153,1176,1186,1192,1203,1277,1302,1331,1364,1382,1423,
Jammu and Kashmir,JK,Bandipora,23,24,24,24,24,35,36,55,61,62,62,63,75,75,75,107,107,108,117,122,125,125,128,128,128,128,129,129,129,129,131,132,132,132,134,134,134,134,136,136,136,136,136,136,136,136,165,173,173,174,194,195,203,205,207,214,218,223,229,235,238,238,250,250,255,258,262,263,265,274,279,281,282,282,282,283,289,289,289,295,296,313,313,329,335,351,352,370,373,387,396,410,418,427,435,452,464,483,522,531,532,539,553,601,611,611,630,630,662,691,722,731,731,745,
Jammu and Kashmir,JK,Baramulla,17,21,21,21,21,26,26,34,39,42,42,42,42,45,45,45,57,57,57,67,80,80,81,91,91,91,91,98,98,98,98,98,98,102,102,103,103,103,104,104,104,105,105,107,121,122,162,164,164,166,223,223,223,263,267,267,267,267,271,334,347,359,375,375,381,381,385,409,412,421,439,450,450,501,506,513,513,544,545,572,572,577,582,848,896,906,922,948,948,1078,1108,1164,1168,1280,1309,1309,1319,1349,1354,1443,1452,1531,1558,1614,1614,1614,1643,1664,1664,1694,1694,1734,1742,1745,
Jammu and Kashmir,JK,Budgam,9,9,9,9,10,11,11,12,12,12,12,12,13,13,13,14,14,14,18,21,28,28,30,30,30,30,35,35,47,47,47,51,51,52,61,61,61,61,67,67,67,70,70,77,78,79,80,107,107,112,112,112,116,123,123,129,129,133,148,153,180,186,186,209,216,223,234,237,237,241,274,281,284,292,292,293,307,320,320,320,331,340,340,388,413,430,480,500,514,517,611,611,650,660,680,700,717,717,717,728,878,900,950,1000,1041,1054,1084,1115,1133,1154,1185,1210,1229,1276,
Jammu and Kashmir,JK,Doda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,20,22,23,24,29,30,39,39,39,41,49,51,54,54,54,54,57,57,58,59,59,60,60,60,60,61,62,64,68,68,69,70,72,78,82,82,82,88,88,97,97,100,109,109,118,124,124,131,139,139,169,173,200,217,218,218,235,253,261,277,286,288,288,289,292,295,299,
Jammu and Kashmir,JK,Ganderbal,2,5,5,5,5,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,32,36,39,40,54,55,55,56,56,58,59,59,59,59,59,62,62,62,62,62,62,62,62,62,74,77,78,78,78,86,86,88,90,100,100,100,101,111,111,123,126,139,141,141,149,197,199,243,243,260,271,271,272,297,331,331,334,334,340,367,384,410,428,451,458,458,459,475,
Jammu and Kashmir,JK,Jammu,14,15,18,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,29,31,31,31,31,34,34,34,36,36,37,37,39,41,41,41,52,63,67,70,70,90,105,107,117,120,137,139,146,159,166,179,193,193,204,233,240,247,255,259,267,278,280,283,284,295,301,301,305,310,313,314,322,329,329,338,344,344,366,378,394,406,437,440,459,467,472,482,486,495,515,528,545,574,591,623,644,696,714,734,747,790,814,843,905,958,1026,1087,1128,1173,1219,
Jammu and Kashmir,JK,Kathua,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,6,15,16,16,19,19,20,25,27,27,28,32,36,38,40,45,49,49,59,69,71,76,76,81,93,97,102,106,112,115,117,119,128,152,152,156,160,161,165,177,177,188,190,195,200,201,206,210,211,224,229,229,230,237,239,247,251,269,276,279,287,298,302,315,324,330,330,343,352,360,369,411,427,455,457,484,504,511,523,528,535,536,540,554,560,
Jammu and Kashmir,JK,Kishtwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,6,6,6,6,6,9,10,10,10,8,8,10,15,15,15,16,16,20,20,20,21,21,21,21,21,21,21,23,25,25,25,25,25,25,27,27,27,27,28,28,29,29,29,29,34,34,37,51,51,54,54,55,55,80,80,100,104,110,120,127,127,135,139,150,153,158,158,158,163,
Jammu and Kashmir,JK,Kulgam,0,0,0,0,2,3,3,3,3,3,3,5,5,5,5,6,6,6,6,6,6,9,9,9,10,10,12,12,15,15,17,21,23,23,23,26,32,32,45,50,51,51,130,150,155,161,168,228,298,338,398,422,431,452,461,473,473,476,482,489,489,494,501,501,584,584,597,597,598,598,598,598,614,646,646,647,656,659,668,678,679,679,700,791,792,861,864,868,874,905,916,972,984,1019,1162,1168,1200,1240,1258,1310,1322,1337,1377,1410,1410,1410,1418,1435,1438,1440,1461,1461,1467,1484,
