State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Jharkhand,JH,Bokaro,4,4,4,4,4,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,15,15,15,20,20,20,20,20,20,22,22,23,23,24,24,24,27,27,27,27,27,27,27,27,27,27,27,27,34,34,34,34,34,34,34,37,37,37,37,45,45,45,45,45,45,45,45,45,47,76,76,76,83,86,86,90,96,100,135,141,141,141,141,155,167,167,191,234,242,324,351,351,401,401,412,433,
Jharkhand,JH,Chatra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,18,20,20,21,23,28,30,30,30,36,36,36,38,38,39,41,41,41,41,45,48,48,49,52,52,52,52,52,52,52,52,56,57,68,85,87,87,87,87,104,136,144,144,158,158,158,158,158,167,167,167,167,167,186,195,195,206,244,263,326,335,335,335,335,356,
Jharkhand,JH,Deoghar,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,30,30,34,35,35,35,35,38,41,41,43,43,43,45,45,45,47,49,56,56,63,63,71,71,73,73,73,84,84,84,84,84,84,84,84,84,84,155,156,236,348,405,405,438,501,521,580,589,637,663,
Jharkhand,JH,Dhanbad,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,10,10,10,10,10,52,52,52,52,52,52,52,81,96,96,100,108,109,109,109,109,109,109,109,109,109,109,109,111,111,111,111,111,122,122,122,122,124,136,141,148,148,155,155,178,178,178,178,179,179,179,179,179,179,179,179,179,201,201,201,201,201,201,201,201,201,491,529,552,596,596,596,913,944,1122,1122,1122,1155,
Jharkhand,JH,Dumka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,9,9,9,9,9,10,12,12,18,18,18,18,25,25,25,29,32,33,34,34,37,41,47,47,49,49,54,56,59,59,70,90,98,101,117,117,135,137,137,142,
Jharkhand,JH,East Singhbhum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,22,43,33,33,33,42,50,50,50,52,52,52,52,52,60,143,152,152,160,168,170,186,190,205,214,217,217,228,232,232,246,246,252,252,279,279,283,296,298,313,325,325,343,349,349,355,358,370,388,417,419,439,493,518,533,540,560,581,616,620,636,693,743,805,805,847,922,984,1098,1226,1609,1674,1930,1930,1955,
Jharkhand,JH,Garhwa,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,48,48,48,48,48,58,68,58,58,58,58,58,60,60,60,60,60,83,83,83,84,84,86,86,86,86,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,196,208,208,196,196,196,197,197,197,197,197,197,197,218,222,228,312,360,455,475,496,534,548,548,586,586,
Jharkhand,JH,Giridih,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,11,11,11,11,11,20,20,20,20,20,31,31,31,44,45,45,45,50,50,50,50,50,51,51,51,51,51,66,66,80,80,80,80,80,80,81,86,86,86,86,86,86,87,96,96,96,96,96,96,96,116,138,138,138,140,140,140,153,153,201,206,217,281,316,428,519,519,567,670,754,811,944,954,954,963,1000,1000,1023,
Jharkhand,JH,Godda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,19,19,19,19,19,19,19,19,19,19,19,19,23,23,23,124,141,156,167,205,208,260,545,547,572,572,572,585,
Jharkhand,JH,Gumla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,9,9,29,29,40,53,53,53,53,53,53,53,67,67,68,68,68,68,68,70,70,81,81,81,81,81,83,96,96,96,96,96,96,98,98,98,98,98,98,98,98,98,103,103,103,103,103,103,103,103,103,103,103,103,103,103,108,112,140,153,190,250,276,328,336,336,336,344,348,
