State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Karnataka,KA,Bagalkote,24,26,29,29,29,29,30,33,33,35,48,51,51,51,51,53,68,68,69,70,71,71,71,76,76,76,77,77,77,77,78,78,78,78,78,78,79,88,90,90,91,91,91,93,94,96,99,99,100,104,107,107,111,112,115,117,131,137,137,137,155,161,163,180,184,188,208,218,226,226,230,263,289,313,349,355,392,399,436,514,548,587,616,629,689,743,808,878,984,1168,1225,1266,1293,1408,1465,1591,1679,1813,1944,2153,2297,2446,2614,2762,2911,3060,3207,3342,3512,3655,3826,
Karnataka,KA,Ballari,13,13,13,13,13,13,13,13,13,14,14,14,15,15,15,15,16,17,17,17,18,18,19,19,19,30,30,33,33,36,37,38,38,47,47,48,51,51,52,53,54,54,60,68,68,71,71,168,179,187,197,250,279,327,364,402,442,442,495,529,555,602,626,697,773,834,919,984,1081,1154,1244,1343,1388,1447,1488,1554,1619,1682,1788,1887,2023,2067,2200,2355,2428,2662,2855,2989,3153,3289,3511,4090,4930,5382,5720,6063,6403,6672,7049,7354,7638,8269,8700,9384,9991,10371,10624,11360,11995,12440,13048,
Karnataka,KA,Belagavi,52,52,52,53,67,70,71,71,71,71,71,72,83,83,113,113,113,113,114,114,114,114,116,116,116,125,126,127,127,128,141,145,145,145,146,159,159,210,210,222,258,263,301,301,301,302,302,303,303,304,304,307,307,307,308,309,309,309,311,312,316,317,318,326,326,328,336,343,356,383,394,394,414,441,450,465,468,470,497,561,602,694,789,926,1013,1073,1096,1315,1529,1645,1986,2149,2304,2532,2811,3013,3230,3449,3621,3681,3944,4237,4466,4856,5158,5393,5447,6022,6336,6624,6958,
Karnataka,KA,Bengaluru Rural,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,13,13,14,15,15,15,18,19,19,31,31,36,36,36,36,37,37,37,38,38,38,39,39,43,47,47,51,51,58,70,73,78,105,108,129,158,163,207,218,218,286,286,323,339,340,345,364,385,399,409,440,473,567,637,845,940,1079,1240,1266,1420,1633,1771,1878,1927,2151,2256,2349,2387,2389,2471,2581,2615,2734,2800,2895,2945,2973,3155,3225,3264,
Karnataka,KA,Bengaluru Urban,129,130,131,131,141,141,145,149,150,153,155,156,163,175,177,178,182,184,189,202,216,216,240,246,250,258,263,267,268,276,278,284,293,305,338,359,383,395,415,424,434,452,475,493,522,564,581,617,648,690,725,772,827,844,982,1076,1272,1398,1505,1678,1791,1935,2531,3314,4052,4555,5290,6179,7173,8345,9580,10561,11361,12509,13882,15329,16862,18387,19702,20969,22942,25286,27494,29619,31775,33227,34941,36993,39200,41467,43503,45453,46923,48821,51091,53324,55544,57396,59501,60998,63033,64881,67425,69572,72237,74185,75428,77038,79840,81733,84185,
Karnataka,KA,Bidar,14,14,14,14,14,14,15,15,22,22,22,22,22,25,25,27,29,41,48,55,55,55,56,57,67,67,76,79,85,86,96,109,121,121,131,164,165,175,175,175,214,215,222,270,279,284,298,308,350,370,381,383,395,401,411,484,497,502,524,529,537,538,555,562,590,607,615,647,675,726,755,799,850,879,894,913,976,1038,1061,1103,1138,1191,1260,1332,1377,1403,1469,1546,1640,1727,1789,1866,1908,1947,2038,2107,2211,2263,2398,2448,2562,2614,2712,2796,2843,2913,2941,3014,3105,3248,3345,
Karnataka,KA,Chamarajanagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,8,9,20,33,33,33,33,54,54,78,83,102,114,120,120,132,141,158,171,180,188,196,212,222,256,281,330,364,395,422,455,477,505,521,573,593,625,669,712,743,795,852,890,985,1048,1110,1157,1227,1299,1367,1423,1484,
Karnataka,KA,Chikamangaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Karnataka,KA,Chikkaballapura,18,18,18,18,18,19,20,20,21,21,21,21,21,22,23,23,24,24,24,24,24,24,24,24,24,26,73,99,126,126,127,131,131,136,136,136,141,143,143,145,148,150,150,150,152,152,152,152,152,152,152,152,155,155,158,163,166,167,172,180,182,182,183,186,201,214,229,230,233,245,258,265,268,300,332,344,364,403,445,458,490,567,598,705,840,900,981,1091,1156,1248,1349,1430,1470,1542,1638,1720,1768,1840,1895,1953,2124,2253,2370,2434,2500,2547,2573,2606,2687,2712,2754,
Karnataka,KA,Chikkamagaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,10,10,10,13,16,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,23,23,26,28,36,37,42,42,43,44,48,50,53,70,80,81,82,82,85,94,96,102,125,130,131,134,144,154,157,170,200,228,252,293,336,404,486,548,576,618,679,705,760,793,919,993,1050,1090,1136,1199,1247,1306,1371,1460,1573,1618,1711,1823,1934,2038,
