State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Karnataka,KA,Bagalkote,6,6,6,6,6,6,6,10,10,13,17,18,18,18,21,21,27,27,27,27,27,27,39,39,39,45,47,47,50,53,62,62,63,63,66,66,66,66,71,71,71,74,76,76,82,83,83,88,88,89,89,91,91,91,93,94,100,100,100,100,100,113,113,113,117,117,123,123,123,123,137,137,141,150,150,150,150,178,208,209,209,216,216,243,264,264,318,318,318,318,477,630,643,730,751,806,806,907,967,1031,1059,1101,1134,1218,1594,1642,1975,2133,2345,2507,2803,
Karnataka,KA,Ballari,5,5,5,5,5,7,7,8,8,8,8,9,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,16,27,32,35,35,43,43,43,43,43,43,43,49,55,55,55,55,90,90,98,112,112,145,145,194,232,292,313,313,405,405,467,495,515,552,570,597,627,665,742,972,992,1024,1041,1102,1147,1181,1203,1288,1324,1332,1371,1407,1460,1540,1557,1600,2129,2229,2566,2710,3118,3223,3241,3724,3876,4299,4926,5106,5254,5447,5851,6231,6671,6948,
Karnataka,KA,Belagavi,6,6,6,7,7,7,15,15,26,26,34,34,34,34,37,36,36,41,41,54,54,54,54,56,56,56,57,57,57,66,89,89,92,92,92,92,108,117,124,124,124,124,151,151,151,155,155,217,217,223,245,254,254,254,279,279,282,282,282,289,295,296,296,300,300,303,303,303,303,313,313,313,313,342,342,342,362,362,362,362,362,377,377,404,404,404,426,426,426,426,469,642,680,714,781,831,918,969,1025,1054,1082,1134,1178,1230,1608,2063,2153,2597,2745,2885,3063,
Karnataka,KA,Bengaluru Rural,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,247,247,247,247,247,247,247,247,247,247,443,532,532,648,704,744,776,796,810,912,1029,1089,1104,1839,2009,
Karnataka,KA,Bengaluru Urban,53,53,58,58,61,69,71,72,75,75,75,77,84,86,86,91,91,95,97,101,115,122,122,123,124,124,130,130,130,149,149,151,151,151,172,231,243,243,262,262,271,276,298,298,298,298,299,299,299,327,329,361,370,384,392,394,411,411,435,476,506,527,534,534,534,544,544,574,771,966,1268,1546,1811,2229,2835,3436,3840,4046,4329,4992,5455,5952,6290,6540,6793,6956,7476,8288,9326,10072,10758,11405,12189,12761,13879,15791,16896,18579,20910,23603,27877,30960,33932,35063,37292,39129,41166,42674,45034,47246,49392,
Karnataka,KA,Bidar,8,8,8,8,8,8,10,10,10,10,10,13,13,13,13,13,13,14,14,14,14,14,14,21,21,21,21,21,21,21,21,24,24,24,27,27,41,41,41,41,41,74,97,90,132,151,181,203,203,203,239,239,239,251,254,266,324,324,366,378,396,396,456,456,466,477,500,500,500,512,532,561,561,562,562,562,591,612,612,612,667,670,714,714,733,810,835,1021,1021,1171,1196,1228,1308,1357,1357,1401,1474,1535,1580,1670,1692,1706,1803,1832,1850,1894,1940,2067,2182,2288,2364,
Karnataka,KA,Chamarajanagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,24,31,31,49,49,49,77,93,110,116,135,135,174,187,198,210,232,232,250,270,288,319,334,364,400,415,463,494,517,545,566,593,633,780,815,858,925,979,1046,
Karnataka,KA,Chikamangaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Karnataka,KA,Chikkaballapura,11,11,11,11,11,11,11,12,12,12,12,12,12,12,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,19,19,19,19,20,38,39,39,52,52,55,74,91,92,109,109,124,126,126,126,133,141,141,146,146,146,146,147,147,147,147,152,158,158,158,158,164,165,167,167,172,191,191,194,200,210,210,214,214,214,249,262,262,262,300,300,300,392,441,519,548,585,614,766,861,1037,1078,1102,1167,1257,1288,1350,1364,1413,1483,1513,1548,1616,1706,1779,1847,
Karnataka,KA,Chikkamagaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,8,8,8,13,16,21,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,23,23,23,27,27,35,36,41,43,43,49,51,52,52,71,71,84,86,88,97,97,105,127,132,134,140,158,169,219,272,314,369,374,377,387,396,426,428,429,440,493,516,535,565,586,621,641,661,710,926,1226,1235,
