State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Kerala,KL,Alappuzha,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,9,10,11,13,13,18,22,25,28,35,36,39,41,47,49,59,66,74,79,83,90,95,106,107,107,120,129,129,134,141,142,151,164,168,178,190,209,224,242,263,276,286,291,300,308,324,345,365,378,393,411,429,451,501,588,645,764,798,818,838,895,937,989,1042,1088,1208,1290,1334,1436,1482,1512,1596,1634,1689,1724,1791,1829,1930,2056,2164,2263,2324,2493,2603,2633,2779,2897,2969,3082,
Kerala,KL,Ernakulam,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,26,26,26,27,28,28,29,29,29,29,33,33,38,40,40,44,48,49,52,55,60,62,72,75,75,78,82,86,88,93,100,107,120,133,138,144,155,158,163,177,190,198,208,217,231,238,243,253,265,274,291,304,316,341,362,378,390,410,457,507,522,592,664,721,836,880,978,1050,1130,1222,1322,1391,1470,1531,1546,1616,1699,1733,1865,1924,2052,2158,2293,2413,2486,2568,2669,2723,2824,2957,3078,3193,3307,
Kerala,KL,Idukki,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,26,26,27,27,27,28,29,33,33,34,34,43,43,46,49,50,50,50,54,54,55,59,61,63,63,63,69,71,72,83,87,87,93,96,98,100,104,109,109,110,118,120,122,128,134,135,155,175,187,192,208,212,212,267,293,304,332,381,405,405,448,511,540,580,628,698,705,739,745,804,818,860,885,885,924,982,1005,1046,1063,1081,1085,1127,1158,1216,
Kerala,KL,Kannur,111,112,115,115,115,115,116,116,116,116,116,116,116,116,116,116,116,117,119,119,119,121,124,129,132,136,148,164,176,186,194,195,205,213,228,235,235,240,242,248,248,260,262,266,271,275,282,285,299,303,313,320,324,328,336,340,350,353,359,376,385,398,409,435,449,475,502,511,529,564,589,600,619,641,649,672,691,708,752,764,799,822,831,870,883,931,988,1031,1082,1100,1162,1209,1247,1290,1332,1371,1385,1390,1406,1443,1480,1541,1574,1587,1644,1685,1748,1778,1809,1836,1931,
Kerala,KL,Kasaragod,175,175,176,178,179,179,179,179,179,179,179,179,179,179,179,183,183,183,193,194,194,195,197,197,198,199,206,210,215,229,232,242,260,264,267,277,291,300,303,315,316,326,329,337,339,339,349,353,362,368,371,373,382,385,389,396,402,411,411,417,421,423,434,440,444,452,462,467,474,488,516,522,535,539,550,567,585,641,650,694,768,786,818,847,904,932,972,1073,1120,1226,1331,1438,1476,1514,1563,1591,1643,1796,1909,1975,2066,2194,2347,2515,2588,2644,2790,2937,3005,3084,3133,
Kerala,KL,Kollam,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,28,28,28,30,31,34,37,39,43,47,48,50,54,60,65,73,78,89,91,110,119,124,129,133,141,145,145,146,150,154,168,181,198,222,235,248,252,270,283,299,311,321,332,344,347,356,379,395,405,416,427,435,445,473,491,496,529,552,563,605,652,705,780,859,944,1077,1183,1316,1396,1470,1492,1587,1671,1693,1746,1781,1850,1907,1937,1967,1998,2034,2075,2181,2222,2247,2252,2326,2401,
Kerala,KL,Kottayam,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,24,24,24,27,29,31,31,33,39,39,42,43,44,44,44,50,58,63,64,66,69,72,80,83,85,88,89,92,102,106,110,121,128,139,149,162,170,177,179,197,212,217,217,220,224,233,247,253,261,267,270,287,294,301,316,328,338,363,388,401,440,456,476,522,561,612,692,742,819,873,932,1050,1079,1108,1197,1244,1314,1349,1372,1423,1463,1500,1515,1654,1694,1718,1794,1847,1948,
Kerala,KL,Kozhikode,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,28,31,33,35,35,36,36,41,45,46,50,50,52,58,60,64,66,66,71,78,88,92,96,102,115,122,132,133,137,149,157,163,167,173,178,184,196,206,211,217,220,227,234,242,249,258,262,268,275,289,297,317,332,347,362,370,382,399,403,419,477,541,574,606,632,664,756,795,820,887,969,1079,1136,1204,1271,1338,1380,1464,1559,1609,1642,1739,1778,1952,2101,2274,2343,2409,2567,2660,2758,2857,
Kerala,KL,Malappuram,22,23,23,23,24,24,24,24,24,24,24,24,24,26,27,28,31,34,39,43,45,49,50,53,57,62,66,74,79,79,84,84,92,97,97,100,114,129,140,148,166,178,205,219,225,232,242,256,271,274,280,295,306,310,328,333,343,360,371,381,387,403,450,455,469,501,535,559,594,631,657,692,755,801,856,897,948,990,1037,1095,1113,1155,1180,1199,1224,1274,1335,1396,1485,1543,1611,1667,1753,1865,1952,1984,2059,2200,2326,2411,2542,2709,2838,2981,3095,3265,3520,3762,4023,4225,4423,
Kerala,KL,Palakkad,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,16,19,20,22,24,25,26,33,34,39,58,62,67,96,104,120,134,143,155,157,162,167,174,214,225,231,232,246,252,265,270,278,284,291,297,303,317,327,350,365,381,408,424,448,471,496,500,512,529,546,564,578,607,636,644,673,698,748,776,824,883,902,928,947,972,1003,1052,1133,1182,1228,1262,1313,1371,1406,1448,1489,1575,1624,1628,1711,1758,1796,1855,1905,1946,2082,2205,2244,2322,2469,2610,2691,2893,3073,
