State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Kerala,KL,Alappuzha,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,9,9,13,13,16,16,18,25,26,26,26,28,28,33,49,60,64,76,86,87,88,102,106,106,112,117,126,126,135,143,145,181,183,190,194,210,217,241,252,254,261,278,278,291,297,333,367,377,449,468,507,556,626,676,826,906,941,961,986,1086,1101,1151,1206,1266,1296,1366,1466,1501,1526,1596,1656,1726,1792,
Kerala,KL,Ernakulam,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,25,25,25,25,25,26,26,26,26,26,29,33,33,33,34,36,41,44,44,45,47,48,49,51,51,52,52,61,67,71,73,73,73,73,75,82,83,93,113,120,127,143,163,175,190,194,197,202,212,212,213,220,224,232,239,246,251,269,364,515,592,699,768,851,909,978,1044,1079,1116,1154,1203,1238,1384,1413,1475,1613,1660,1730,1781,1890,1977,
Kerala,KL,Idukki,10,10,10,10,10,10,12,12,22,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,27,27,27,31,32,34,34,34,34,34,34,34,34,36,37,39,41,46,51,57,57,59,61,74,74,76,76,76,77,77,85,89,93,93,93,93,96,102,108,114,119,120,125,126,148,244,256,287,312,339,359,390,435,467,497,551,577,635,655,712,731,762,771,839,864,886,894,
Kerala,KL,Kannur,55,61,63,66,68,72,78,78,97,97,97,100,110,110,112,112,112,112,113,113,115,115,115,115,116,116,116,116,116,116,116,115,116,117,118,122,123,124,126,132,132,137,142,142,142,155,160,161,171,173,194,195,197,201,221,223,226,240,241,248,249,250,263,264,277,279,291,297,310,324,327,337,346,348,364,378,379,398,417,463,468,476,484,521,542,545,555,555,562,670,706,770,802,817,820,867,908,943,998,1023,1126,1179,1197,1226,1273,1284,1316,1343,1407,1432,1507,
Kerala,KL,Kasaragod,161,161,163,166,168,172,172,173,176,176,176,178,178,178,179,179,179,179,179,179,179,179,179,179,180,180,180,181,183,189,191,194,194,195,195,196,196,203,207,207,215,216,222,229,229,240,246,248,254,255,259,267,267,278,282,284,286,295,295,298,306,307,312,317,319,323,340,371,383,389,389,401,401,408,421,424,424,432,438,443,464,487,496,505,517,527,533,576,612,680,703,739,792,828,864,868,997,1025,1055,1105,1130,1235,1296,1419,1452,1567,1578,1844,1883,1911,1962,
Kerala,KL,Kollam,5,5,5,5,8,8,8,8,17,17,17,17,17,17,17,17,17,18,20,20,20,20,20,20,20,20,20,21,21,23,23,23,23,23,23,23,23,23,25,25,25,27,30,30,33,37,41,48,48,48,59,60,64,74,88,90,90,90,94,95,95,105,120,120,139,139,160,160,160,201,232,242,248,271,281,281,307,307,317,319,328,345,353,354,358,359,370,383,414,468,518,589,646,716,862,945,1039,1092,1260,1300,1336,1385,1434,1466,1557,1600,1637,1669,1696,1769,1795,
Kerala,KL,Kottayam,3,3,3,3,3,3,3,3,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,22,23,23,23,23,24,24,27,34,36,36,36,36,37,37,39,41,41,42,44,46,46,49,51,53,59,59,62,66,77,80,82,84,91,97,105,111,117,118,134,144,149,160,161,161,169,178,184,185,197,202,215,222,228,234,243,260,270,282,307,381,430,467,480,500,528,577,642,699,738,793,900,947,1001,1072,1132,1188,1243,1290,1313,1330,1378,
Kerala,KL,Kozhikode,13,17,17,20,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,28,28,32,32,32,37,43,43,50,50,50,53,56,61,63,65,66,70,70,81,82,85,96,100,108,108,141,147,158,158,164,172,174,186,186,197,198,203,208,213,219,220,220,224,242,249,269,283,293,302,311,319,325,363,377,393,459,521,529,570,583,613,670,745,794,887,913,957,1029,1045,1081,1191,1221,1292,1395,1517,1529,1640,
Kerala,KL,Malappuram,19,20,20,20,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,27,27,27,28,31,36,37,38,40,42,49,50,50,59,59,59,60,60,60,60,62,62,69,74,84,90,92,94,109,110,138,161,177,184,195,213,232,232,239,261,275,331,341,348,376,389,399,411,417,435,450,466,494,505,547,584,616,642,642,674,727,779,809,833,1018,1140,1228,1262,1296,1308,1317,1353,1397,1435,1529,1606,1720,1760,1925,2034,2087,2138,2245,2306,2730,
Kerala,KL,Palakkad,7,7,7,7,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,17,17,18,18,18,30,30,60,67,69,69,69,82,88,97,124,136,146,171,182,195,205,206,218,218,219,224,226,231,235,238,245,256,310,378,423,431,464,487,496,513,521,528,544,569,618,673,745,745,772,783,877,911,926,971,1034,1058,1065,1074,1114,1133,1169,1280,1322,1351,1418,1474,1487,1528,1561,1607,1687,1789,1829,1915,1982,2073,
