State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Madhya Pradesh,MP,Agar Malwa,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,19,21,23,25,27,35,35,41,42,43,43,49,50,58,64,67,68,74,76,78,80,80,83,85,89,91,91,91,96,101,101,101,102,106,110,118,128,133,135,139,139,
Madhya Pradesh,MP,Alirajpur,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,8,8,9,9,10,11,13,16,24,32,33,35,38,44,54,59,76,90,91,96,105,116,126,129,136,142,166,169,171,178,178,181,186,186,196,206,212,214,231,234,237,274,277,288,
Madhya Pradesh,MP,Anuppur,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,17,17,18,19,20,21,23,23,24,24,24,26,26,26,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,35,35,35,47,52,52,52,67,67,69,69,69,69,71,71,72,72,72,72,72,75,75,75,83,85,85,90,95,101,105,115,117,124,
Madhya Pradesh,MP,Ashoknagar,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,6,6,10,10,12,12,12,12,12,12,12,12,12,12,12,13,13,13,16,32,32,40,40,41,41,41,41,41,41,42,42,42,43,43,43,43,43,43,43,44,44,46,48,48,48,50,52,55,55,55,58,60,63,63,65,66,71,72,75,75,77,78,78,79,79,80,80,80,81,83,83,87,88,90,98,99,99,103,110,110,119,119,124,125,130,133,135,137,142,
Madhya Pradesh,MP,Balaghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,12,12,12,12,12,12,12,17,17,17,17,18,20,20,20,20,20,21,25,26,29,29,33,33,39,40,42,42,46,47,48,51,54,55,55,57,57,61,64,66,74,74,85,97,99,99,106,110,114,130,130,130,131,135,144,149,149,156,161,164,166,173,176,182,186,187,199,209,
Madhya Pradesh,MP,Barwani,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,31,33,34,39,39,39,39,40,41,41,42,42,43,53,53,53,53,53,54,54,58,59,59,62,62,62,62,66,66,70,72,76,76,76,80,80,89,92,97,105,106,108,114,114,116,118,119,126,130,137,150,153,153,156,167,187,187,204,209,222,226,229,232,264,274,289,301,321,349,374,401,434,535,608,660,700,756,764,802,802,829,854,876,900,902,918,926,942,957,963,963,971,
Madhya Pradesh,MP,Betul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9,9,9,9,13,17,19,21,21,21,23,23,26,27,28,31,34,35,35,35,35,35,36,36,37,37,37,38,38,38,38,40,43,45,46,47,47,49,49,49,56,56,57,59,67,69,72,80,81,83,87,91,97,100,104,118,130,137,137,142,153,157,161,171,175,176,184,185,199,209,211,218,220,227,238,250,266,271,274,278,286,293,297,303,307,323,334,337,355,370,385,
Madhya Pradesh,MP,Bhind,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,9,10,12,16,17,19,25,38,42,44,44,48,49,51,51,53,53,56,56,56,57,58,61,70,84,90,104,105,106,110,112,115,115,119,119,124,132,132,138,141,150,151,173,176,189,198,206,211,223,245,255,265,271,287,296,305,313,316,322,338,341,351,366,385,385,399,411,413,419,422,422,423,425,425,428,431,433,446,451,455,455,455,460,476,479,496,496,499,500,507,508,514,519,523,527,528,528,
Madhya Pradesh,MP,Bhopal,415,428,458,483,508,526,526,532,563,571,605,652,679,704,743,774,804,858,900,926,954,992,1030,1046,1088,1115,1153,1191,1241,1271,1303,1356,1373,1395,1422,1467,1511,1531,1572,1630,1682,1733,1772,1822,1880,1927,2012,2082,2145,2195,2235,2283,2332,2382,2437,2457,2504,2527,2556,2601,2633,2664,2705,2740,2764,2789,2830,2884,2933,2984,3045,3110,3155,3225,3278,3335,3407,3502,3590,3693,3782,3848,3976,4085,4221,4363,4512,4669,4800,4977,5109,5314,5503,5673,5872,6105,6313,6469,6627,6793,6965,7115,7270,7401,7539,7681,7770,7870,7961,8071,8139,8247,8370,8462,
Madhya Pradesh,MP,Burhanpur,0,0,1,1,1,1,18,18,34,34,38,38,42,47,55,60,60,60,95,122,149,149,152,194,194,206,209,213,271,278,293,293,293,293,297,302,304,304,305,316,316,331,331,359,373,377,379,381,381,384,385,388,388,388,388,389,389,390,390,391,391,391,392,392,392,398,401,401,402,405,405,413,416,416,420,421,421,428,431,432,432,435,437,437,439,445,450,451,451,453,455,459,464,467,469,472,478,480,484,484,486,488,489,492,493,497,498,502,503,505,505,505,508,516,
