State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Madhya Pradesh,MP,Agar Malwa,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,17,21,21,28,28,34,39,39,40,48,49,49,59,59,60,65,68,71,71,74,74,74,76,82,83,85,89,89,90,92,
Madhya Pradesh,MP,Alirajpur,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,7,7,7,7,7,8,10,11,18,18,18,18,25,29,33,37,41,42,61,69,75,87,105,114,128,130,144,149,152,155,163,164,
Madhya Pradesh,MP,Anuppur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,17,17,17,22,22,22,24,24,24,24,25,25,25,25,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,32,32,32,35,35,35,35,47,52,52,52,67,69,69,69,69,71,71,71,82,84,84,84,84,
Madhya Pradesh,MP,Ashoknagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,20,25,35,35,39,40,40,40,40,40,40,40,40,40,40,40,41,42,42,42,42,33,42,42,42,42,42,42,42,43,43,49,49,56,56,56,56,56,57,58,60,60,66,69,71,71,71,75,75,79,79,81,81,81,82,83,88,88,88,93,98,98,
Madhya Pradesh,MP,Balaghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,6,6,6,6,7,7,7,7,11,11,11,12,12,12,12,12,12,15,15,17,18,18,20,20,20,20,21,25,26,29,29,33,33,36,39,39,42,42,46,47,51,54,54,55,55,57,59,62,64,74,74,84,97,99,106,106,114,130,130,130,130,130,135,144,149,
Madhya Pradesh,MP,Barwani,7,10,14,14,14,18,20,22,23,23,23,23,23,23,24,24,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,32,32,34,34,36,36,36,36,38,41,42,48,48,48,51,51,51,53,53,55,55,55,55,55,60,64,66,66,68,71,76,85,88,92,94,97,100,100,102,104,110,111,112,114,114,114,116,123,135,139,147,150,158,168,175,181,190,203,209,209,228,236,238,277,303,351,351,351,385,419,454,478,501,545,609,625,671,706,727,741,
Madhya Pradesh,MP,Betul,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,21,23,26,26,26,27,28,32,32,34,35,35,35,35,36,36,37,37,37,38,38,38,38,39,41,43,46,47,47,48,48,53,53,56,60,66,66,70,73,81,81,85,88,92,96,98,111,123,134,134,139,139,149,153,166,170,174,181,181,186,200,203,212,215,230,231,247,251,265,269,
Madhya Pradesh,MP,Bhind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,10,10,12,12,12,12,28,28,33,33,33,33,33,33,51,56,56,58,58,84,84,90,103,103,103,103,110,111,112,113,113,118,128,129,129,138,138,146,169,170,190,207,207,224,246,256,262,262,262,281,297,297,305,307,318,334,349,367,381,384,384,399,409,416,416,419,419,423,423,424,433,433,433,433,440,449,452,473,474,474,489,
Madhya Pradesh,MP,Bhopal,104,139,139,162,162,183,212,237,266,288,317,318,354,377,393,417,460,488,509,525,525,564,564,632,670,690,708,740,788,803,826,853,879,903,924,963,963,1042,1077,1111,1157,1197,1249,1309,1326,1355,1403,1432,1454,1510,1533,1564,1604,1668,1681,1707,1726,1789,1807,1842,1882,1968,2011,2037,2089,2194,2274,2319,2366,2401,2417,2447,2483,2514,2541,2577,2609,2642,2671,2702,2746,2784,2838,2899,2949,3013,3138,3195,3271,3346,3390,3481,3528,3610,3685,3875,3963,4111,4179,4223,4472,4658,5123,5212,5339,5419,5556,5927,6072,6178,6230,
Madhya Pradesh,MP,Burhanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,14,14,33,33,33,99,99,99,99,99,182,182,200,200,200,235,247,248,255,265,272,272,272,272,282,288,288,289,294,304,324,335,343,349,349,356,362,362,362,362,364,364,364,364,364,364,367,367,368,368,374,375,376,379,379,379,380,393,394,394,394,394,398,408,408,411,411,411,414,418,418,418,428,429,429,429,429,432,433,437,442,444,445,452,452,454,456,457,457,459,
Madhya Pradesh,MP,Chhatarpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,9,9,17,17,20,27,27,29,29,29,29,34,36,37,41,41,41,41,42,42,45,48,48,48,48,48,53,53,53,54,54,55,55,55,55,55,55,57,58,58,58,59,61,61,64,64,68,71,80,83,89,95,107,117,144,157,166,199,228,245,270,285,295,302,321,331,337,344,348,353,357,361,365,
