State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Manipur,MN,Bishnupur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,4,40,40,40,41,41,41,41,41,41,51,51,61,74,74,77,77,77,79,79,79,79,79,80,80,80,80,81,81,81,81,81,82,82,82,82,82,82,82,82,85,85,86,86,86,86,86,86,86,86,86,86,88,88,88,92,92,93,93,94,97,103,124,124,124,128,128,131,137,141,141,141,
Manipur,MN,CAPF Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,94,99,133,166,175,340,434,462,505,518,525,564,579,710,821,845,
Manipur,MN,Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,8,8,14,14,15,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,45,47,47,50,56,65,66,66,66,66,66,74,74,74,
Manipur,MN,Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,16,16,16,16,16,17,17,17,17,17,17,18,18,18,19,21,21,29,29,41,41,41,41,41,105,105,105,105,106,113,94,94,94,102,103,114,116,119,119,129,129,129,129,139,139,139,140,140,141,141,149,149,149,149,152,155,155,160,162,162,162,162,162,174,174,175,175,175,177,185,236,241,300,300,301,301,301,302,309,309,313,325,327,327,328,332,341,341,341,342,
Manipur,MN,Imphal East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,10,10,10,10,10,10,10,10,15,16,17,17,17,17,17,17,17,28,30,32,33,33,35,36,36,36,38,38,39,39,39,39,41,42,45,46,46,47,48,48,51,56,60,60,60,60,60,62,62,70,74,74,75,76,76,85,85,92,106,107,138,138,138,146,159,169,170,177,205,211,219,220,232,245,270,270,282,
Manipur,MN,Imphal West,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,6,6,7,7,7,7,10,10,10,13,14,15,16,18,18,18,26,26,27,42,42,42,56,58,58,58,58,62,64,64,62,62,65,65,71,74,77,77,88,89,89,89,90,91,91,91,97,97,97,97,97,121,122,122,122,128,138,171,171,174,183,184,196,196,202,213,214,251,258,263,293,306,318,327,369,420,445,458,496,510,535,545,579,634,647,671,699,704,760,832,
Manipur,MN,Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3,4,4,32,32,32,41,46,46,50,59,66,66,66,70,71,71,72,72,72,72,89,102,102,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,114,114,114,114,114,114,114,114,114,
Manipur,MN,Kakching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,22,22,22,26,35,35,35,35,35,39,39,42,47,53,63,64,69,73,73,74,87,87,87,87,89,89,89,93,93,95,95,95,106,106,107,107,107,108,109,109,109,109,109,111,111,114,114,114,119,119,119,126,126,150,152,152,152,154,154,160,170,170,170,172,172,175,175,176,177,177,177,
Manipur,MN,Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,10,11,11,11,11,11,11,11,11,12,12,21,27,47,50,50,55,57,58,58,79,81,81,87,89,89,89,95,95,95,95,95,123,123,123,123,123,127,128,128,134,134,135,135,135,136,136,136,136,136,136,139,139,139,139,139,139,139,139,143,143,143,143,152,153,157,157,157,159,159,159,
Manipur,MN,Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,22,23,43,43,43,44,44,44,44,44,48,48,56,78,95,97,99,101,102,102,102,102,135,136,136,137,137,137,155,155,160,160,160,160,160,166,166,171,171,171,171,234,234,234,259,259,271,271,271,271,285,285,285,287,288,289,294,294,294,294,306,307,307,318,319,319,319,319,319,319,320,320,
