State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Odisha,OR,Angul,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,15,15,15,15,15,15,15,15,17,17,19,19,19,25,24,25,25,25,25,25,25,25,26,29,30,31,31,33,33,33,33,33,39,40,41,47,48,48,48,49,55,55,56,56,57,58,59,59,63,63,69,70,71,71,95,106,107,111,112,119,122,133,133,140,141,155,156,165,166,188,192,229,230,237,247,253,258,259,270,290,305,330,345,354,367,381,385,402,411,427,431,439,443,458,464,466,
Odisha,OR,Balangir,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6,9,16,24,38,54,56,62,69,80,82,89,102,102,105,116,121,122,123,124,124,129,141,143,143,144,147,148,150,150,151,152,153,154,165,165,165,167,167,183,187,194,213,213,216,222,227,248,248,260,260,261,263,268,270,273,273,282,286,286,291,297,298,304,313,332,353,374,400,406,425,463,463,514,519,530,551,588,631,637,696,723,754,781,788,
Odisha,OR,Balasore,10,16,16,19,20,20,20,21,21,24,25,27,27,42,42,57,57,90,102,102,102,119,119,121,122,122,127,128,128,133,137,139,139,142,146,152,152,154,178,179,179,190,190,190,197,197,197,202,204,204,212,216,222,256,277,277,294,307,320,323,325,332,332,344,346,351,353,377,377,390,398,412,440,466,496,505,508,519,546,554,615,636,645,658,691,704,744,754,763,785,808,837,856,885,914,934,971,1000,1012,1091,1128,1159,1176,1245,1318,1391,1434,1488,1569,1628,1684,
Odisha,OR,Bargarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,8,11,11,11,12,16,16,16,16,16,18,18,18,18,34,34,35,46,50,50,52,66,67,68,68,68,68,69,87,97,97,109,110,131,133,133,166,166,167,167,168,168,171,202,205,205,205,209,244,247,269,273,299,323,331,345,352,375,385,390,402,412,425,430,463,473,487,568,576,583,634,644,700,715,742,764,
Odisha,OR,Bhadrak,16,19,19,19,19,19,19,19,21,21,21,21,24,25,31,31,31,31,46,46,46,74,74,95,95,95,98,98,98,106,106,106,106,106,113,113,120,120,123,132,136,140,140,151,151,152,152,152,157,158,177,177,177,180,180,185,196,200,200,200,200,225,225,226,228,232,232,232,233,245,261,273,274,276,278,280,282,293,295,296,297,304,314,317,322,380,392,393,423,483,511,521,546,548,552,605,606,626,651,676,716,738,804,854,856,914,984,1067,1117,1182,1300,
Odisha,OR,Boudh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,5,5,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,35,35,38,38,38,38,38,38,40,40,40,40,40,40,40,40,41,41,41,41,42,42,45,45,45,45,45,45,45,50,50,53,53,53,60,62,64,64,69,77,77,77,80,82,123,123,131,132,134,134,137,137,146,151,151,153,154,162,196,203,203,210,220,230,252,257,
Odisha,OR,Cuttack,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,10,10,22,23,27,36,45,56,57,59,59,75,86,86,89,95,100,120,126,126,131,154,167,172,187,189,209,216,219,311,323,342,343,346,346,366,381,394,484,487,491,496,501,537,549,557,574,606,620,702,715,813,826,855,872,886,941,987,998,1021,1060,1076,1114,1146,1184,1211,1243,1327,1384,1431,1567,1614,1689,1825,1885,1946,2043,2071,2125,2248,2337,2458,2626,2731,2855,2953,3130,3202,3278,3387,3518,3619,
Odisha,OR,Deogarh,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,24,24,24,24,24,28,32,32,32,33,33,33,33,33,33,38,38,38,40,40,40,40,40,40,40,40,41,41,41,41,41,42,42,42,42,42,57,61,62,62,62,62,62,62,62,62,66,66,66,66,66,66,66,66,69,69,69,69,69,69,69,70,81,81,82,84,92,94,94,96,96,96,96,96,96,96,101,101,101,103,119,121,
Odisha,OR,Dhenkanal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,7,7,7,16,18,19,19,21,21,31,33,33,35,38,39,39,42,42,49,51,52,52,52,52,52,52,53,57,66,66,73,73,73,73,76,80,80,80,83,84,84,85,86,87,91,95,95,95,102,104,106,106,112,121,122,132,142,144,150,152,152,167,199,200,201,204,296,345,358,369,420,425,452,495,531,560,667,681,717,756,796,
Odisha,OR,Gajapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,10,10,10,10,20,36,36,40,44,44,51,61,61,61,61,72,79,84,84,99,99,106,163,163,191,191,238,238,279,355,384,411,427,428,435,435,441,442,442,449,461,462,518,521,538,568,593,613,614,643,643,643,664,664,703,718,718,742,816,819,909,983,1056,1145,1233,1305,1402,1510,1601,1662,1700,1775,1834,1869,1904,1989,2020,2040,2111,2119,2212,
