State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Odisha,OR,Angul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,17,19,19,19,24,24,25,25,25,25,25,25,25,31,31,31,31,33,33,33,33,33,40,40,40,44,47,47,48,49,53,53,53,57,57,57,57,60,65,69,69,92,100,105,110,110,110,118,127,133,134,145,149,158,159,161,179,179,196,201,227,230,231,232,237,242,244,264,269,303,309,310,349,349,353,353,353,366,370,388,
Odisha,OR,Balangir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,6,6,6,6,8,9,18,24,38,54,56,62,69,80,87,99,107,110,121,126,127,127,129,129,129,141,143,143,143,144,147,148,150,150,150,153,153,165,165,165,166,167,167,212,212,212,212,215,220,220,246,246,254,256,256,261,266,266,271,275,281,282,286,293,298,300,306,322,338,362,384,399,415,425,425,430,445,545,553,566,592,628,
Odisha,OR,Balasore,0,0,0,0,0,3,3,4,4,4,5,5,5,9,9,11,11,20,20,21,22,24,25,27,27,42,42,57,57,91,102,119,119,120,121,124,127,127,132,134,137,140,144,150,152,159,163,177,189,190,190,194,196,196,201,201,203,208,208,215,222,224,255,268,276,278,304,306,309,309,324,327,343,346,358,375,386,395,395,420,451,454,469,475,490,507,507,556,587,606,639,645,655,666,699,713,717,736,741,771,829,856,881,898,931,1014,1049,1081,1111,1124,1195,1256,1319,1420,
Odisha,OR,Bargarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,11,11,11,11,11,16,16,16,16,18,18,18,18,33,33,34,47,48,48,50,50,56,56,57,64,65,67,81,94,100,114,138,139,145,148,155,161,167,167,178,191,194,199,209,223,241,248,279,304,316,323,334,340,347,347,351,363,363,370,389,405,407,441,451,501,513,520,530,535,550,
Odisha,OR,Bhadrak,2,2,2,2,2,9,9,12,12,12,12,12,12,12,12,15,15,19,19,21,21,21,21,23,25,30,30,31,31,40,46,74,74,95,95,95,95,95,98,106,106,106,123,123,130,135,135,135,135,135,146,146,155,155,166,175,175,178,178,179,184,184,194,198,212,220,221,224,224,227,227,239,239,239,253,257,258,261,267,279,279,282,284,289,296,297,299,320,328,346,350,373,396,448,461,474,484,517,533,561,565,575,590,603,611,642,673,701,727,771,791,817,855,893,
Odisha,OR,Boudh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,5,5,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,35,35,38,38,38,38,38,38,40,40,40,40,40,40,40,40,41,41,41,41,42,42,45,45,45,45,45,45,45,45,50,53,53,53,61,63,65,70,70,77,77,80,80,81,121,130,130,132,137,137,137,146,150,151,179,179,184,199,199,
Odisha,OR,Cuttack,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,10,14,23,26,35,36,49,56,58,58,80,84,86,93,117,119,124,124,128,139,165,180,183,200,243,313,375,385,399,405,405,407,409,431,449,453,478,491,509,513,529,544,549,570,612,644,670,741,786,818,828,830,833,875,903,947,1005,1016,1043,1078,1121,1147,1181,1205,1219,1281,1397,1475,1566,1616,1684,1724,1768,1915,1952,2083,2086,2212,2338,2409,2537,2703,2802,2933,
Odisha,OR,Deogarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,24,24,24,24,24,32,32,32,32,33,33,33,33,33,33,33,38,38,40,40,40,40,40,40,40,40,41,41,41,41,42,42,42,42,42,42,61,61,62,62,62,62,62,62,62,62,62,66,66,66,66,66,66,66,69,69,69,69,69,69,82,82,83,83,83,94,94,94,94,95,95,95,95,95,95,99,
Odisha,OR,Dhenkanal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,6,6,15,15,21,21,21,30,32,32,34,38,38,39,39,46,46,51,51,51,53,53,53,53,56,56,56,56,66,66,66,66,70,75,77,79,79,79,85,85,85,89,89,90,90,91,91,91,102,102,109,119,127,127,134,138,138,144,162,186,191,195,201,317,330,351,351,411,435,472,500,500,572,635,
Odisha,OR,Gajapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,10,10,33,33,33,33,33,33,51,59,71,71,71,71,80,80,80,98,98,98,121,121,133,133,153,212,212,212,231,257,313,362,362,362,429,437,439,439,449,450,485,521,531,534,540,562,562,562,568,590,613,627,670,693,742,776,803,852,940,1023,1143,1159,1163,1299,1374,1485,1513,1593,1626,1765,1790,1844,1876,1925,
Odisha,OR,Ganjam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,30,49,89,109,132,154,162,203,233,248,272,283,302,317,318,334,336,338,340,354,389,396,410,419,441,498,515,545,578,595,613,616,620,636,641,658,670,670,680,729,768,811,859,892,952,993,1041,1090,1128,1219,1318,1391,1487,1607,1707,1892,2079,2185,2433,2701,2971,3055,3275,3554,3753,3871,4008,4076,4483,5013,5404,5836,5996,6303,6699,7130,7342,7481,7524,7878,8136,8621,8911,9611,10171,10573,10755,11159,11548,11803,12069,12341,12696,12928,
Odisha,OR,Jagatsinghpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,28,28,30,30,31,31,41,41,49,50,57,68,76,82,86,86,86,87,87,89,89,110,130,130,133,137,151,155,162,168,169,171,176,207,209,227,238,243,268,271,272,281,298,298,302,309,316,326,343,356,363,381,382,387,410,425,432,449,461,475,534,578,578,581,589,603,630,632,661,672,680,688,715,747,754,762,780,789,805,823,861,
Odisha,OR,Jajpur,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,33,33,48,52,52,55,55,55,60,63,71,72,90,103,121,126,151,173,174,179,239,239,240,242,242,253,253,269,280,287,287,287,290,290,293,312,319,326,326,326,326,329,337,341,341,341,342,351,360,368,380,383,391,399,400,404,410,456,488,501,528,553,561,567,587,685,695,779,819,839,876,885,889,891,923,942,949,974,984,1005,1026,1035,1049,1119,1144,1149,1196,1216,1250,1308,1337,1386,1420,1424,1535,1587,1603,1639,
Odisha,OR,Jharsuguda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,7,7,7,7,8,9,9,9,9,13,15,15,17,18,18,18,18,19,20,21,27,29,29,44,44,48,49,64,97,98,106,111,118,126,128,128,129,133,133,163,163,163,176,182,182,194,199,206,211,216,225,255,260,266,269,275,282,283,294,297,301,309,312,317,325,328,334,355,374,384,401,415,
Odisha,OR,Kalahandi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,15,15,15,15,15,15,15,15,20,20,21,21,25,27,29,29,36,38,38,41,41,57,57,57,57,63,63,64,64,70,70,70,70,71,71,71,71,71,71,76,76,76,78,78,78,78,78,78,82,82,82,82,82,82,82,84,84,84,104,106,113,113,114,122,147,171,207,232,232,280,301,311,355,432,438,469,
Odisha,OR,Kandhamal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,6,13,13,22,22,22,22,25,25,25,25,30,36,50,64,82,101,142,144,145,145,145,157,158,158,158,175,175,175,178,178,178,178,178,178,184,185,185,185,189,189,191,191,191,199,199,199,199,199,213,213,213,228,245,261,290,309,323,333,353,370,400,428,442,442,483,529,603,687,733,769,781,807,869,906,
Odisha,OR,Kendrapara,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,8,8,9,9,9,22,27,27,30,30,40,57,69,85,85,95,99,132,142,153,156,161,161,162,163,163,163,167,167,170,170,174,174,180,184,186,190,195,200,202,209,217,220,226,226,232,232,240,242,245,248,258,264,269,273,277,280,285,291,293,294,303,313,319,322,329,336,342,351,362,370,384,394,403,407,418,430,442,453,467,488,498,509,533,564,571,613,626,642,656,
Odisha,OR,Kendujhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,4,4,4,7,8,8,8,8,8,11,11,18,18,18,18,22,22,25,25,30,30,30,30,33,44,46,46,54,59,61,70,72,76,77,80,80,93,93,95,95,96,101,107,107,119,135,145,147,178,181,183,206,254,271,288,311,331,338,352,364,375,382,384,410,429,443,466,495,563,594,612,669,688,689,722,759,776,799,799,900,947,977,989,1008,1024,1044,
