State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Punjab,PB,Amritsar,14,14,14,14,42,90,143,218,218,218,231,277,288,288,296,297,298,298,298,297,301,305,305,307,308,313,314,318,319,329,331,347,354,366,374,377,386,387,389,405,408,434,469,481,502,515,529,592,601,613,633,642,659,698,733,754,758,786,792,806,838,852,871,883,904,911,928,928,938,947,957,968,976,987,1001,1021,1040,1062,1087,1109,1131,1160,1194,1225,1253,1292,1348,1362,1381,1436,1491,1539,1585,1657,1735,1799,1863,1911,1956,1985,2024,2077,2137,2185,2287,2363,2395,2513,2598,2634,2670,
Punjab,PB,Barnala,2,2,2,2,2,2,2,4,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,24,24,24,24,24,24,25,26,26,27,28,28,29,31,31,31,31,31,39,42,43,43,43,46,46,46,46,50,50,59,59,59,63,64,69,71,71,71,71,71,72,74,74,76,77,79,79,79,79,80,83,84,89,93,96,116,126,143,144,179,191,223,249,284,304,318,351,384,421,432,445,468,477,540,553,570,
Punjab,PB,Bathinda,0,0,0,2,2,2,2,35,36,36,37,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,47,47,49,49,50,53,54,55,55,55,55,55,56,56,57,57,57,57,61,61,64,64,64,68,79,85,85,85,89,89,90,92,93,99,100,106,110,115,117,122,123,128,129,141,150,151,154,171,173,177,177,194,199,200,242,242,260,287,296,331,331,346,349,425,453,571,585,561,711,737,809,849,873,911,933,1012,1072,
Punjab,PB,Faridkot,3,3,3,6,6,6,6,6,18,45,45,45,45,45,45,46,46,46,46,52,55,59,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,63,66,66,67,69,72,74,73,86,86,86,86,86,87,88,89,89,94,94,95,98,99,100,101,101,101,103,106,106,108,110,111,111,119,127,128,146,148,149,152,153,157,169,175,183,190,196,200,212,212,229,242,248,258,259,260,262,271,294,292,294,315,318,319,332,354,373,391,390,415,430,466,498,518,
Punjab,PB,Fatehgarh Sahib,2,2,2,2,2,3,9,16,16,16,19,20,24,29,37,48,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,58,58,63,64,64,64,65,69,70,70,70,73,73,73,74,76,77,78,81,83,85,87,88,90,100,101,101,107,107,110,111,120,120,121,121,122,123,127,131,131,139,142,144,146,166,173,178,192,192,196,201,217,225,244,258,264,276,286,298,302,333,333,348,369,379,380,393,407,424,451,465,503,518,527,545,588,615,
Punjab,PB,Fazilka,0,0,0,0,0,4,4,4,4,38,39,39,39,39,39,40,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,44,44,44,45,45,46,47,48,48,48,48,50,50,50,50,53,54,54,55,55,61,75,75,75,77,90,90,91,91,91,95,100,101,102,103,103,103,102,102,103,105,105,108,112,114,138,142,149,154,154,154,179,187,208,208,232,232,254,263,266,266,303,310,324,327,336,343,359,367,367,381,384,397,402,405,
Punjab,PB,Ferozepur,1,1,1,1,2,17,26,29,42,42,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,47,48,49,51,52,58,59,62,62,62,73,77,81,86,88,90,93,96,96,96,100,102,107,119,119,122,131,143,147,155,157,165,169,190,199,200,215,228,232,234,237,255,272,283,296,296,333,335,408,410,458,500,551,565,584,617,624,641,657,663,683,711,777,805,
Punjab,PB,Gurdaspur,1,1,1,1,4,4,5,30,36,84,85,91,115,115,115,121,121,121,121,122,122,122,123,124,125,129,129,130,132,132,132,133,133,136,137,137,138,140,143,145,148,148,151,152,152,165,166,166,166,168,169,171,171,175,176,176,181,191,195,196,198,207,208,216,219,220,224,229,240,242,249,261,263,271,278,286,287,288,289,291,292,297,303,307,310,312,322,323,337,347,363,378,431,456,490,497,505,594,624,658,668,669,723,794,844,878,915,928,968,972,1007,
Punjab,PB,Hoshiarpur,7,7,8,11,11,11,42,88,88,88,89,89,89,90,90,91,91,92,92,92,92,92,95,95,95,102,102,102,106,106,110,110,114,114,116,120,128,128,131,134,134,134,135,135,135,135,135,137,137,139,141,144,145,150,155,155,162,164,165,165,166,166,171,174,174,178,183,184,185,186,186,186,187,187,190,193,194,196,201,204,207,212,246,258,260,287,289,370,379,449,451,493,512,516,517,521,532,546,550,559,569,575,586,607,619,630,658,735,756,760,773,
Punjab,PB,Jalandhar,78,78,85,86,89,105,120,124,128,134,135,147,158,175,175,188,197,198,205,205,207,207,209,209,210,210,210,213,214,220,230,230,233,241,241,245,246,257,260,262,270,270,293,307,311,312,316,319,323,324,347,378,409,410,489,536,543,564,602,645,668,668,686,704,712,738,743,755,774,834,841,925,941,1016,1048,1110,1187,1223,1276,1345,1437,1467,1545,1616,1676,1703,1736,1772,1832,1908,1937,2009,2058,2112,2157,2225,2249,2411,2505,2610,2644,2745,2845,2907,3027,3086,3242,3296,3422,3593,3727,
Punjab,PB,Kapurthala,3,6,6,6,12,12,13,13,13,18,18,18,23,24,25,25,26,27,27,27,32,32,33,33,33,34,34,35,35,36,36,36,36,36,36,36,36,38,38,38,40,40,40,40,40,41,41,41,42,42,44,48,49,51,58,62,65,63,67,76,83,83,85,89,90,96,96,105,106,109,109,114,121,121,126,126,126,128,131,141,141,145,148,149,153,157,158,169,175,184,194,201,210,235,242,253,255,291,322,333,340,348,354,382,413,431,437,468,507,526,568,
