State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Rajasthan,RJ,Ajmer,5,5,5,13,13,14,14,40,40,40,50,51,63,68,68,80,103,108,110,122,161,169,196,201,215,228,231,235,236,236,238,247,253,253,291,292,292,297,299,299,299,303,310,313,331,331,340,346,351,352,352,352,354,361,365,371,375,394,397,408,410,412,413,422,423,427,434,444,452,456,465,483,488,496,497,515,515,523,537,561,561,581,633,658,658,688,743,743,803,803,858,888,936,981,1080,1171,1297,1388,1436,1517,1602,1682,1717,1816,1867,1970,2060,2132,2187,2187,2296,
Rajasthan,RJ,Alwar,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,13,13,13,13,13,13,28,28,28,28,28,28,32,45,47,49,49,52,52,52,52,52,52,52,52,52,52,52,57,64,68,89,89,302,302,302,302,302,302,302,302,304,307,316,329,329,329,329,338,340,340,340,343,351,369,373,393,393,417,449,523,640,640,736,757,860,920,948,1037,1065,1135,1176,1232,1348,1407,1490,1651,1654,1724,1809,1896,1909,1994,2264,2501,2864,2976,3114,3309,3518,3518,4085,
Rajasthan,RJ,BSF Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,
Rajasthan,RJ,Banswara,21,31,31,31,31,41,41,51,51,58,58,58,58,58,62,62,63,63,63,65,66,66,66,66,66,66,66,66,66,66,72,72,74,74,74,81,83,83,83,83,83,83,83,83,83,84,84,84,84,87,87,87,87,87,88,88,88,88,90,90,90,90,90,90,90,90,92,92,95,95,95,96,96,97,97,97,97,97,98,98,98,98,98,101,103,103,103,103,109,109,109,110,110,111,114,116,130,130,130,136,136,144,154,155,155,178,178,178,178,209,209,
Rajasthan,RJ,Baran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,32,33,33,33,41,44,52,55,55,57,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,60,60,60,60,60,62,62,62,64,64,65,65,67,70,71,71,72,72,73,74,74,74,74,74,74,95,95,95,95,95,95,107,107,107,107,122,139,139,142,153,153,159,
Rajasthan,RJ,Barmer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,30,35,57,62,63,75,76,77,80,83,84,84,85,85,99,99,102,103,104,104,104,104,110,110,110,122,124,133,139,145,162,162,165,172,184,191,205,221,269,308,328,350,360,386,414,431,441,455,458,484,496,525,531,531,555,585,600,630,656,667,708,760,778,810,820,820,820,820,820,820,1242,1242,1318,1367,1367,1456,1489,1489,1531,
Rajasthan,RJ,Bharatpur,5,5,5,6,6,86,87,87,103,105,105,105,105,105,107,107,114,114,114,114,114,114,114,115,115,115,123,123,123,123,123,123,123,123,129,129,134,134,134,150,150,150,189,243,243,314,314,321,401,442,465,531,550,576,610,660,870,920,1030,1063,1083,1155,1175,1190,1240,1270,1386,1405,1451,1510,1530,1550,1561,1589,1627,1642,1674,1685,1708,1750,1760,1805,1850,1880,1909,1920,1925,1925,1940,1955,1980,2000,2020,2035,2067,2090,2116,2148,2181,2211,2281,2301,2355,2386,2405,2428,2475,2507,2550,2560,2636,
Rajasthan,RJ,Bhilwara,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,43,43,50,50,50,55,56,73,73,76,93,100,100,100,103,104,105,105,125,125,133,135,139,142,142,143,159,162,165,165,173,180,180,180,181,184,203,203,211,215,215,221,221,232,239,239,245,245,245,253,255,255,258,262,267,267,267,271,271,278,278,280,280,283,286,300,310,311,315,315,322,324,349,349,352,364,375,384,384,393,393,435,450,450,681,681,769,
Rajasthan,RJ,Bikaner,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,40,50,50,50,50,57,57,60,60,69,77,83,84,84,84,90,90,95,95,99,103,105,105,109,109,111,111,114,115,117,125,125,127,140,145,147,150,154,170,175,175,175,219,222,239,244,281,291,291,356,379,401,410,480,490,570,653,679,785,848,905,995,1041,1119,1145,1325,1372,1420,1498,1510,1549,1595,1642,1670,1687,1750,1828,1907,1960,2069,2126,2248,
Rajasthan,RJ,Bundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,8,8,8,8,10,10,10,10,10,10,10,10,11,11,11,11,11,11,14,14,14,14,14,14,14,14,15,15,15,15,15,15,23,26,26,31,31,31,31,31,45,48,57,60,60,60,69,69,84,95,95,95,109,109,110,110,116,
