State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Tamil Nadu,TN,Airport Quarantine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Tamil Nadu,TN,Ariyalur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,5,6,7,7,7,7,7,9,10,11,12,13,13,13,14,15,16,17,17,17,
Tamil Nadu,TN,Chengalpattu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,7,8,8,9,9,9,9,10,10,14,14,14,15,15,15,18,20,22,23,24,27,30,33,38,41,45,49,53,57,60,65,68,75,80,87,92,94,96,106,111,119,128,136,138,145,152,154,158,165,169,172,176,184,186,194,201,207,210,214,218,222,227,233,239,242,246,248,253,257,262,272,279,284,292,302,307,312,316,322,329,335,339,342,349,
Tamil Nadu,TN,Chennai,12,12,13,15,15,16,17,17,18,20,22,23,25,28,29,33,40,43,45,49,52,54,57,59,61,68,70,75,81,87,94,98,109,116,122,132,141,153,153,167,179,198,213,225,241,257,276,291,314,344,379,419,458,498,526,556,598,620,642,665,691,727,773,806,843,885,926,961,993,1030,1051,1079,1117,1143,1166,1193,1218,1250,1274,1292,1315,1338,1373,1404,1431,1453,1472,1936,1944,1966,1986,2008,2029,2053,2073,2092,2110,2137,2154,2173,2199,2224,2245,2269,2287,2299,2324,2347,2367,2381,2405,2431,2451,2475,
Tamil Nadu,TN,Coimbatore,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,8,9,9,10,11,12,17,18,20,22,22,22,28,32,38,39,42,44,46,50,54,64,71,78,85,90,96,101,112,125,132,140,149,156,164,171,185,196,
Tamil Nadu,TN,Cuddalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,8,9,10,18,21,21,21,21,21,22,25,29,31,34,34,34,37,46,49,52,55,57,58,59,60,65,70,71,73,74,
Tamil Nadu,TN,Dharmapuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,6,6,7,7,7,7,8,9,9,9,9,9,9,10,11,11,
Tamil Nadu,TN,Dindigul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,12,17,17,17,19,22,22,22,22,28,31,34,35,36,37,43,46,50,53,55,56,57,59,63,63,67,71,75,77,82,84,87,91,91,94,
Tamil Nadu,TN,Erode,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,13,14,16,17,17,17,19,19,20,20,24,25,
Tamil Nadu,TN,Kallakurichi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,5,6,6,6,10,10,10,10,11,12,14,16,16,16,19,19,21,22,22,22,23,25,26,26,26,27,30,32,35,35,36,37,41,43,44,47,49,50,
