State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Tamil Nadu,TN,Airport Quarantine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,13,13,18,54,54,61,62,74,76,81,86,86,90,96,96,104,105,107,126,141,155,167,180,193,205,212,229,248,264,285,303,314,339,355,371,392,400,416,430,484,545,608,625,667,700,717,737,750,765,772,798,811,824,855,913,936,967,981,1003,1028,1044,1066,1088,1112,1133,1148,1175,1203,1219,1246,1262,1293,1304,1345,1354,1382,1389,1424,1450,1465,1477,1499,1527,1530,1536,1550,1564,1572,1586,1593,1603,
Tamil Nadu,TN,Ariyalur,5,5,5,5,6,7,25,27,33,33,221,245,245,261,265,298,334,338,348,348,348,353,355,355,355,355,355,355,356,356,357,362,362,365,365,365,370,370,370,372,374,379,380,381,384,384,387,391,392,392,393,397,397,400,407,414,420,432,432,440,450,454,458,461,462,462,463,463,463,466,468,475,475,487,492,497,509,513,513,542,585,599,609,620,634,647,684,710,759,796,800,827,876,893,897,914,918,950,1023,1045,1094,1130,1154,1205,1245,1291,1345,1432,1497,1573,1642,
Tamil Nadu,TN,Chengalpattu,55,55,67,71,76,84,89,90,94,130,139,152,178,218,261,351,386,411,430,450,463,491,534,556,617,651,691,730,776,830,852,887,932,993,1087,1172,1220,1302,1363,1537,1623,1719,1854,1988,2146,2328,2444,2569,2705,2882,3005,3108,3271,3285,3432,3620,3745,3872,4030,4202,4407,4651,4911,5051,5242,5419,5648,5807,6139,6355,6633,6853,6942,7215,7386,7635,7872,8120,8283,8553,8741,8908,9035,9360,9658,10027,10289,10495,10888,11308,11764,12266,12717,13348,13841,14197,14534,14866,15312,15657,15917,16484,16897,17227,17411,17811,18332,18735,19175,19640,20080,
Tamil Nadu,TN,Chennai,528,575,678,772,910,1086,1260,1463,1729,2007,2331,2647,3046,3325,3834,4372,4882,5262,5637,5947,6279,6761,7125,7677,8234,8801,9370,9995,10582,11131,11640,12202,12761,13379,13995,14799,15766,16575,17587,18693,19809,20993,22149,23298,24545,25937,27398,28924,30444,31896,33244,34245,35556,37070,38327,39641,41172,42752,44205,45814,47650,49690,51699,53762,55969,58327,60533,62598,64689,66538,68254,70017,71230,72500,73728,74969,76158,77338,78573,79662,80961,82128,83377,84598,85859,87235,88377,89561,90900,92206,93537,94695,95857,96438,97575,98767,99794,100877,101951,102985,104027,105004,106096,107109,108124,109117,110121,111054,112059,113058,114260,
Tamil Nadu,TN,Coimbatore,141,141,141,141,141,141,142,146,146,146,146,146,146,146,146,146,146,146,146,146,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,150,150,159,153,153,158,161,161,166,167,170,173,173,176,180,183,187,211,244,255,268,280,292,314,347,393,428,460,528,538,561,608,645,712,741,802,839,927,1026,1071,1142,1261,1291,1480,1591,1644,1785,1905,2043,2183,2359,2539,2777,2966,3237,3459,3775,4052,4344,4647,4821,5059,5230,5458,5688,5805,5997,6227,6450,6670,6961,7296,7592,7884,8274,
Tamil Nadu,TN,Cuddalore,26,26,26,26,27,28,30,39,161,229,324,356,390,393,394,394,395,412,413,416,416,417,418,420,420,421,421,423,427,427,435,439,443,448,454,462,463,464,470,472,475,475,481,491,491,498,517,521,533,533,560,568,645,646,647,663,765,823,850,892,912,929,940,982,1007,1073,1081,1124,1143,1218,1257,1277,1342,1413,1480,1493,1510,1526,1551,1565,1624,1646,1690,1725,1770,1863,1921,1991,2070,2162,2250,2415,2525,2668,2788,2929,3088,3271,3415,3582,3846,4016,4232,4445,4628,4774,5061,5344,5685,5943,6165,
Tamil Nadu,TN,Dharmapuri,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,8,9,11,11,11,13,18,19,23,23,24,26,27,20,20,30,25,28,30,35,32,43,45,47,53,61,69,70,81,86,93,107,112,121,128,124,156,209,224,238,241,258,260,264,289,324,378,446,482,488,486,505,541,570,700,732,740,750,765,761,770,787,789,791,808,815,830,851,880,898,906,913,934,969,
Tamil Nadu,TN,Dindigul,80,80,80,80,80,81,81,81,91,98,107,107,107,108,108,109,111,111,112,114,121,121,123,126,127,132,133,133,133,133,134,134,138,138,138,139,144,146,146,148,151,156,167,176,182,185,196,198,207,218,220,234,249,250,272,278,305,312,357,367,377,344,369,370,438,472,507,601,618,633,704,725,730,739,742,750,756,787,789,946,1066,1193,1356,1463,1602,1680,1725,1826,1930,2012,2115,2318,2451,2566,2622,2760,2812,2893,2990,3066,3131,3202,3331,3465,3747,3878,4051,4204,4246,4386,4524,
Tamil Nadu,TN,Erode,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,72,72,72,72,74,74,72,72,73,73,75,73,74,74,72,72,73,73,73,73,76,79,78,85,83,87,89,96,100,112,124,136,157,176,191,206,222,248,288,286,296,313,327,369,389,422,451,460,468,464,473,477,509,512,518,539,564,586,618,645,656,680,690,724,732,754,767,789,829,888,955,1012,1064,1101,1115,1164,1206,1334,
Tamil Nadu,TN,Kallakurichi,6,6,9,9,9,9,9,15,15,53,53,54,54,55,55,55,57,57,61,61,78,95,100,111,112,120,121,121,136,146,154,220,223,242,249,251,251,255,259,252,264,264,272,292,295,299,303,319,330,344,337,338,354,357,364,366,387,395,437,448,470,527,552,707,764,850,878,1017,1102,1123,1205,1246,1274,1285,1539,1621,1723,1791,1847,1904,1979,2049,2107,2184,2299,2388,2435,2517,2651,2833,2938,3065,3303,3498,3633,3726,3745,3807,3840,3906,4055,4063,4131,4270,4394,4480,4564,4639,4650,4745,4776,
