State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Tamil Nadu,TN,Airport Quarantine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,8,14,14,23,25,32,32,48,57,68,70,72,77,86,91,95,97,102,111,117,125,134,148,158,167,178,186,190,200,210,226,237,264,281,291,302,317,329,367,390,401,409,415,425,436,440,446,452,463,474,477,481,771,777,792,798,938,951,974,986,1092,1094,1098,1114,1122,1128,1134,1142,1160,1181,1199,1301,1302,1338,1345,1349,1429,1446,1447,1452,1471,1473,
Tamil Nadu,TN,Ariyalur,2,2,2,4,4,4,6,6,6,6,6,6,6,6,6,6,10,13,13,195,314,328,328,345,345,348,348,348,348,348,348,355,355,355,355,355,355,359,359,359,359,360,360,361,361,361,363,365,365,372,372,372,374,379,384,387,387,387,389,390,391,391,394,394,404,418,425,425,425,439,447,449,452,457,458,459,459,459,459,468,469,488,495,534,545,551,572,574,598,632,661,694,720,722,734,734,764,772,810,849,870,901,926,957,970,995,1027,1064,1064,1098,1130,1175,1191,1240,
Tamil Nadu,TN,Chengalpattu,40,40,40,43,48,48,48,48,48,49,49,49,49,51,56,65,66,66,67,68,76,187,188,190,193,233,233,245,253,255,258,395,403,443,583,610,615,661,671,678,689,763,785,788,883,897,903,1142,1150,1255,1288,1501,1597,1695,1755,1831,1933,1968,2027,2316,2355,2463,2589,2644,2650,2661,2762,3014,3113,3220,3445,3766,3954,4045,4199,4355,4357,4527,4528,5695,6299,6561,6763,6845,7114,7276,7517,7761,8006,8224,8787,8898,9180,9429,9900,10480,11129,11564,12238,12676,13062,13522,13969,14306,14420,14776,15117,15408,15829,16317,16668,17115,17537,18002,
Tamil Nadu,TN,Chennai,161,195,195,210,214,222,223,250,267,319,330,339,374,545,639,706,749,749,758,783,1202,1476,1600,1922,2823,3048,3773,4051,4844,5135,5492,5800,6304,6895,7321,7891,8181,8554,9034,9459,10210,10572,10954,11256,11730,12591,13808,14723,15947,16881,17476,18565,19027,19686,21098,21796,22887,23756,24670,26472,27986,28823,31045,31858,33441,34828,36826,38947,40111,41309,42309,44882,47735,49587,52287,55156,56947,58615,60694,62552,64036,65748,67077,68193,69382,70651,71949,73681,75384,76494,77625,78940,80761,81530,82764,83890,84916,86301,87604,88826,89969,90966,92128,93231,94100,95161,96466,97574,98736,99806,100643,101689,102698,103358,
Tamil Nadu,TN,Coimbatore,94,120,120,121,125,127,127,133,133,140,140,140,140,140,140,140,140,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,145,145,147,147,147,148,148,149,149,149,150,158,161,161,164,164,164,164,170,175,176,177,184,187,205,222,231,252,275,275,275,288,308,320,320,321,321,321,338,406,662,696,717,829,901,1022,1281,1479,1659,1826,1929,2131,2427,2611,2868,3029,3245,3469,3685,3918,4144,4322,4546,4695,4880,5268,5418,5630,5805,6048,6223,6405,6682,
Tamil Nadu,TN,Cuddalore,18,18,18,18,21,26,26,26,26,26,26,26,26,27,27,27,28,28,28,37,251,259,362,377,381,401,405,407,409,414,414,416,416,419,420,420,421,421,432,432,435,439,443,451,454,455,455,455,455,455,456,456,469,472,475,479,479,492,509,522,530,535,557,619,631,641,726,775,813,856,887,894,927,968,989,1025,1067,1083,1118,1154,1164,1218,1278,1332,1367,1406,1424,1456,1496,1532,1570,1595,1629,1644,1718,1833,1862,1913,1964,2028,2089,2168,2271,2394,2502,2604,2736,3059,3155,3234,3391,3705,3889,4161,
Tamil Nadu,TN,Dharmapuri,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,10,11,11,11,11,15,15,16,17,17,18,19,19,19,19,24,27,28,29,39,41,50,52,52,69,69,71,74,85,94,97,103,105,112,131,185,193,209,222,240,246,253,278,301,358,427,465,472,479,502,535,559,683,714,722,738,751,752,758,758,772,779,783,798,804,828,
Tamil Nadu,TN,Dindigul,62,62,62,66,71,71,72,72,72,73,75,75,79,79,79,79,79,79,80,83,95,97,97,106,106,106,106,106,110,110,112,112,112,120,120,122,122,123,123,124,124,124,124,124,127,140,143,145,147,157,173,177,179,185,198,202,211,213,220,224,244,231,231,237,256,277,286,300,310,315,324,347,365,410,434,460,516,554,568,645,645,653,727,754,765,765,862,903,971,1450,1603,1683,1692,1743,1892,1970,2147,2191,2370,2481,2581,2603,2707,2824,2877,3204,3262,3362,3496,3575,3617,3681,3882,3978,
Tamil Nadu,TN,Erode,64,64,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,72,72,72,72,72,72,72,74,74,75,77,80,80,80,80,81,81,83,85,85,97,100,175,175,176,196,199,200,265,266,297,306,377,391,396,416,433,443,453,456,471,504,523,551,583,597,607,610,636,646,664,680,690,709,726,741,799,853,895,904,
Tamil Nadu,TN,Kallakurichi,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,10,10,10,14,14,39,39,44,58,58,61,61,61,79,93,93,99,110,110,111,121,136,145,153,153,153,153,234,235,238,243,245,247,247,261,262,268,282,284,292,301,301,311,325,325,325,346,355,363,364,379,379,443,465,515,528,716,737,788,810,958,999,1018,1075,1222,1301,1378,1462,1579,1713,1780,1831,1903,2003,2042,2111,2190,2290,2444,2472,2671,2743,2828,2903,3012,3121,3274,3335,3545,3605,3702,3775,3860,3942,4061,4103,4160,4296,
Tamil Nadu,TN,Kancheepuram,7,7,7,9,9,9,9,9,9,10,11,11,11,12,20,26,26,27,66,71,98,107,107,120,124,129,150,155,152,165,183,200,204,210,225,232,250,254,267,292,294,309,316,321,342,360,378,386,408,411,427,440,459,502,514,538,588,600,611,647,679,733,755,779,796,808,844,888,925,926,983,1032,1137,1177,1216,1260,1293,1322,1354,1499,1932,2171,2348,2454,2543,2839,2934,3051,3282,3891,4273,4432,4542,4853,5120,5383,5650,5918,6229,6757,7316,7675,7984,8340,8507,8938,9249,9617,9935,10225,10544,10546,10853,11058,
Tamil Nadu,TN,Kanyakumari,6,6,6,10,10,10,10,10,10,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,20,23,24,27,27,27,27,27,27,27,28,32,34,39,43,48,48,54,59,59,61,64,67,71,71,74,74,80,80,81,91,95,96,99,100,103,118,121,128,135,141,146,158,165,180,221,247,262,315,336,369,408,457,457,492,553,596,612,680,706,740,924,964,976,976,1323,1720,1797,1964,1964,2299,2475,2650,2838,3000,3180,3372,3591,3833,4131,4257,4525,4686,4886,5061,5306,5575,5741,5919,6113,
