State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Uttar Pradesh,UP,Agra,372,384,401,430,468,497,536,596,628,640,655,670,706,743,756,770,794,791,785,794,806,810,815,827,836,845,839,845,850,859,866,873,874,876,875,882,890,896,904,914,928,939,956,972,986,994,999,1009,1023,1038,1054,1075,1093,1114,1127,1136,1137,1144,1150,1159,1164,1178,1185,1196,1214,1222,1225,1241,1264,1267,1284,1305,1311,1334,1346,1367,1380,1386,1395,1414,1424,1441,1457,1477,1497,1508,1529,1543,1566,1591,1609,1629,1667,1684,1705,1743,1793,1826,1861,1895,1905,1946,1985,2016,2051,2097,2117,2172,2190,2227,2237,
Uttar Pradesh,UP,Aligarh,13,23,24,32,35,35,41,42,42,43,50,53,53,55,55,57,60,63,66,66,66,73,78,99,99,110,115,121,126,127,129,129,130,145,145,154,160,162,170,176,177,185,200,213,220,226,236,245,255,271,282,292,309,311,339,355,367,374,404,409,426,440,454,458,475,500,519,545,569,576,593,611,635,656,677,708,726,750,780,798,808,829,854,889,928,960,995,1020,1035,1066,1108,1152,1190,1223,1265,1324,1391,1436,1505,1602,1638,1716,1808,1868,1969,2035,2139,2204,2266,2338,2406,
Uttar Pradesh,UP,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,6,13,20,21,22,31,31,35,37,39,49,51,51,56,61,62,66,70,70,74,81,84,85,93,94,94,95,99,101,101,106,109,109,114,111,111,111,111,113,113,116,116,118,120,117,117,119,120,126,133,134,134,134,139,139,140,140,140,142,143,145,146,148,151,149,151,155,159,164,166,172,179,190,191,196,222,250,259,298,310,311,322,346,355,382,406,415,444,454,476,498,
Uttar Pradesh,UP,Amethi,0,0,0,0,0,0,0,0,0,1,1,3,5,5,6,6,11,11,13,16,16,18,26,26,26,31,31,40,41,46,80,88,89,89,132,146,148,171,171,180,183,196,200,202,214,214,215,215,216,217,226,236,237,247,254,263,267,269,275,276,277,277,279,279,278,282,283,283,290,291,297,299,302,309,313,313,315,316,317,317,319,324,328,338,340,341,352,354,368,369,381,384,403,414,425,434,462,469,489,498,503,525,529,574,612,648,666,694,703,766,770,
Uttar Pradesh,UP,Amroha,25,25,25,25,26,26,30,30,32,32,32,32,33,32,32,32,32,32,33,34,34,34,33,33,35,39,43,43,56,59,59,59,59,60,61,61,61,68,68,68,68,68,68,69,74,75,75,78,78,79,80,88,88,89,102,108,110,111,114,124,124,128,128,130,139,140,143,146,147,155,155,163,164,172,198,202,218,226,237,238,239,266,272,322,336,336,338,353,357,359,364,424,473,537,548,573,603,628,639,731,766,781,780,797,843,888,910,960,993,1021,1033,
Uttar Pradesh,UP,Auraiya,10,10,10,10,10,10,10,12,12,13,13,13,13,13,13,16,16,18,18,18,18,20,20,20,20,20,22,22,22,22,22,27,29,29,29,29,29,33,35,38,39,39,45,49,51,52,52,53,55,57,57,62,72,71,77,85,90,89,93,96,96,102,102,102,104,104,104,105,106,106,108,110,111,114,116,118,118,118,119,119,128,129,130,144,153,174,186,191,219,239,280,288,320,335,350,357,367,390,430,473,494,512,536,561,575,588,605,621,634,660,683,
Uttar Pradesh,UP,Ayodhya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,7,7,7,7,28,47,53,57,57,57,70,93,94,103,108,113,116,116,116,127,128,128,138,140,145,150,153,156,162,171,181,181,187,197,201,201,216,222,230,230,247,247,262,264,274,276,289,294,305,307,311,317,335,341,381,397,437,444,457,493,527,556,572,615,624,635,653,680,703,713,750,841,875,927,993,1052,1194,1248,1334,1350,1370,1420,1448,1495,1556,1630,1662,1713,1779,1826,1889,
Uttar Pradesh,UP,Azamgarh,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,12,12,14,14,15,31,31,31,40,40,55,56,69,89,89,95,111,122,125,126,143,151,154,156,159,161,164,164,167,167,168,168,168,169,172,178,178,179,179,197,196,205,213,225,228,230,233,242,263,272,291,295,301,320,339,350,352,353,364,385,401,403,441,448,454,466,479,508,516,521,594,651,708,754,803,876,964,1011,1024,1151,1187,1281,1413,1490,1603,1710,1757,1847,1939,2003,2068,
Uttar Pradesh,UP,Baghpat,15,15,15,15,15,16,17,17,17,18,18,18,21,21,21,22,25,25,25,25,25,26,26,26,27,27,27,27,29,29,29,30,30,30,40,42,43,44,46,64,76,76,92,100,104,119,119,124,141,145,150,153,164,184,192,192,210,222,224,224,231,232,247,264,264,266,275,276,303,315,343,344,391,413,421,427,436,451,452,469,474,487,490,500,508,513,518,528,546,568,577,586,594,602,610,616,623,622,628,630,632,639,645,655,660,672,683,694,707,714,724,
Uttar Pradesh,UP,Bahraich,9,9,9,9,9,9,14,14,15,15,15,15,17,22,24,25,26,26,35,37,37,45,51,62,63,66,68,68,70,73,74,76,78,81,85,85,87,88,90,90,95,100,100,105,106,106,108,111,111,111,111,111,116,114,117,117,117,121,121,121,123,123,123,123,124,124,125,127,129,129,134,136,143,144,148,161,166,166,169,173,177,196,201,204,208,211,217,249,259,279,282,306,355,382,429,479,510,525,580,642,676,757,826,909,956,1024,1076,1109,1156,1227,1275,
