State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Uttar Pradesh,UP,Agra,49,52,71,91,91,91,104,104,113,208,208,220,261,267,326,326,326,364,394,394,501,547,547,613,625,675,692,693,725,725,731,739,739,741,755,756,769,770,770,774,777,786,795,800,804,805,808,823,832,849,859,867,878,887,901,908,923,934,944,957,967,976,987,1002,1004,1014,1021,1034,1039,1044,1057,1069,1090,1097,1102,1111,1126,1135,1140,1158,1170,1192,1201,1214,1233,1247,1255,1270,1275,1287,1320,1351,1367,1376,1394,1403,1423,1447,1472,1494,1515,1546,1592,1613,1642,1672,1699,1716,1747,1767,1782,
Uttar Pradesh,UP,Aligarh,0,0,0,0,0,0,0,0,0,0,2,6,10,11,13,22,22,24,24,37,37,37,39,49,53,53,55,56,59,59,59,59,65,65,66,75,84,87,88,88,88,98,99,100,104,105,138,139,140,144,154,154,156,159,161,183,184,197,208,211,224,225,235,245,266,301,309,320,321,343,355,356,358,362,371,386,392,392,394,395,398,404,405,420,424,426,438,523,534,544,580,575,630,634,634,639,641,643,646,657,679,718,732,739,743,762,834,863,896,1120,1448,
Uttar Pradesh,UP,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,10,12,13,19,24,27,27,28,29,35,39,46,47,48,48,56,60,63,71,72,77,77,77,77,86,88,89,90,92,92,92,97,100,100,100,103,103,103,103,103,103,106,109,109,109,109,115,116,121,124,124,126,126,126,126,126,127,130,130,132,132,132,133,136,141,144,157,160,161,181,195,210,210,219,224,236,257,274,289,
Uttar Pradesh,UP,Amethi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,9,12,18,28,28,29,29,29,29,29,32,70,71,78,78,116,134,134,160,185,189,193,201,202,205,212,213,235,235,244,250,261,266,266,271,271,271,273,273,275,277,277,280,280,284,287,290,292,294,302,307,310,312,313,315,315,315,320,326,335,336,346,346,348,353,354,360,363,378,386,398,403,416,426,433,438,458,471,487,495,500,
Uttar Pradesh,UP,Amroha,0,5,6,6,6,12,12,18,24,26,26,26,26,26,26,26,26,26,26,26,26,27,29,29,29,29,31,31,31,31,31,31,31,31,31,34,34,34,34,35,35,50,55,55,56,56,67,68,68,68,68,69,69,73,73,75,75,75,76,76,78,78,89,89,89,90,90,98,99,100,100,100,100,100,100,102,102,118,118,118,118,122,178,183,186,190,192,208,244,246,285,288,290,292,304,304,305,319,323,332,338,377,413,494,509,525,562,599,619,693,725,
Uttar Pradesh,UP,Auraiya,0,0,4,4,4,4,4,4,4,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,15,15,18,18,19,19,19,21,22,22,22,24,24,26,26,26,26,26,28,28,32,32,36,36,41,42,42,51,53,55,55,59,62,65,68,74,83,86,89,91,91,92,96,98,98,100,101,101,102,103,104,104,105,107,109,110,110,111,111,135,154,155,156,156,161,167,167,184,197,218,255,271,304,326,368,378,390,398,454,478,485,
Uttar Pradesh,UP,Ayodhya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,6,30,39,48,48,48,48,59,78,90,91,103,103,103,107,115,115,124,124,125,129,132,139,139,148,151,167,171,176,176,188,192,196,196,199,209,225,229,248,254,254,259,273,274,275,280,300,318,318,329,348,363,378,428,483,524,554,565,580,597,605,622,636,657,656,730,744,781,841,910,944,984,1069,1116,1174,1202,1228,
Uttar Pradesh,UP,Azamgarh,3,3,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,13,14,14,14,26,26,32,33,34,36,87,96,98,98,124,136,143,143,144,152,154,157,157,158,158,161,163,166,167,167,170,171,182,184,190,196,196,203,211,213,218,245,246,252,252,266,268,269,288,298,313,316,317,325,333,364,368,372,376,380,385,387,433,438,439,462,503,546,588,613,679,776,901,927,992,1041,
Uttar Pradesh,UP,Baghpat,1,11,11,13,13,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,18,18,18,20,20,24,24,24,24,24,24,24,24,24,25,26,26,26,26,27,27,28,28,28,28,28,39,42,43,49,51,51,74,77,82,107,136,139,144,146,150,167,177,185,193,214,215,217,220,224,244,244,257,260,267,282,296,311,324,331,331,387,401,405,419,423,437,444,449,487,498,508,512,515,522,526,534,538,553,554,558,563,570,577,582,586,592,594,600,608,
Uttar Pradesh,UP,Bahraich,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,11,11,13,13,13,18,18,24,24,25,26,26,35,35,35,53,53,53,53,62,62,62,62,62,71,71,71,72,76,80,81,87,87,87,92,96,96,102,102,104,106,106,107,108,108,108,112,112,115,115,119,121,121,121,121,123,123,123,125,126,126,132,133,133,133,138,142,142,145,159,160,162,164,176,190,192,203,214,221,231,242,248,270,281,314,345,367,401,440,459,474,512,545,578,
