State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Uttarakhand,UT,Almora,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,7,12,12,15,21,24,45,45,63,63,63,63,64,69,73,73,73,74,74,74,74,74,74,75,85,99,112,126,137,138,149,163,163,165,165,176,176,176,176,181,182,190,192,193,196,198,198,198,198,201,201,203,203,203,203,204,211,212,215,220,224,227,258,264,267,270,280,298,299,302,306,307,312,315,317,322,322,322,322,328,364,367,368,368,
Uttarakhand,UT,Bageshwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,6,6,8,8,8,8,8,16,16,16,21,21,21,23,23,27,33,35,40,40,40,40,40,40,42,42,47,47,54,59,59,59,63,68,74,74,81,81,81,83,83,83,86,92,93,93,93,93,93,93,93,95,95,95,95,95,95,95,95,95,95,95,95,95,98,98,98,99,99,101,102,133,133,133,133,134,155,155,165,165,165,165,168,177,179,
Uttarakhand,UT,Chamoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,11,11,11,11,11,11,13,13,19,25,25,27,33,33,34,34,34,37,40,43,44,44,44,44,47,47,54,63,63,67,67,67,69,71,73,73,74,74,74,76,76,76,76,76,76,76,76,77,77,78,78,78,81,81,81,82,82,82,82,82,82,82,83,83,85,85,91,92,92,97,97,98,101,110,111,112,113,119,119,155,155,156,
Uttarakhand,UT,Champawat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,12,33,33,33,36,39,45,46,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,51,51,52,53,54,54,55,57,57,59,59,59,59,61,61,63,65,65,71,71,71,72,73,74,74,74,74,76,76,76,87,96,96,96,101,102,119,119,123,123,125,135,136,136,143,144,151,154,162,174,190,195,
Uttarakhand,UT,Dehradun,28,28,31,31,31,31,33,33,33,34,34,34,34,34,35,35,35,36,39,40,44,45,47,47,47,47,54,63,75,76,79,83,92,164,185,234,243,279,288,324,347,358,369,375,396,403,432,449,461,475,481,499,534,562,566,600,606,608,632,648,655,659,667,677,681,692,712,713,734,742,754,758,776,785,805,816,836,871,878,889,936,961,999,1049,1107,1114,1178,1221,1289,1319,1391,1437,1447,1480,1530,1604,1659,1686,1737,1775,1823,1870,1938,1959,1997,2031,2072,2154,2236,2272,2345,
Uttarakhand,UT,Haridwar,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,8,10,12,14,14,23,28,35,43,48,51,68,76,77,86,86,87,108,135,144,151,154,170,200,204,209,211,238,241,246,254,259,271,288,297,303,313,313,313,313,313,313,315,315,317,318,319,324,331,337,337,344,347,365,376,399,404,434,455,482,632,727,777,981,1013,1042,1103,1129,1247,1289,1363,1410,1416,1458,1486,1587,1610,1630,1739,1812,1984,2111,2289,2432,2571,2678,2800,
Uttarakhand,UT,Nainital,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,14,15,15,16,23,25,27,28,85,117,126,136,138,139,224,229,260,263,285,300,310,314,321,323,324,328,334,334,334,334,335,338,340,348,354,361,366,366,368,376,383,411,425,454,468,470,474,496,513,526,530,537,541,546,548,560,564,564,577,583,583,607,641,648,684,691,700,715,788,819,896,926,931,979,1024,1044,1070,1104,1199,1232,1279,1289,1339,1372,1406,1491,1507,1532,1581,1609,1624,1678,
Uttarakhand,UT,Pauri Garhwal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,6,7,10,10,23,23,28,28,34,34,37,38,42,43,43,43,47,51,52,53,53,62,62,65,71,72,91,93,95,99,109,129,138,140,140,141,141,141,142,142,143,143,144,145,147,150,154,159,160,160,164,169,172,173,176,182,182,186,186,186,190,190,190,196,199,199,199,202,206,210,214,216,222,228,237,239,264,273,276,276,285,290,295,296,
Uttarakhand,UT,Pithoragarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,17,20,20,21,21,21,27,27,28,28,28,44,44,44,51,51,51,51,51,51,53,60,60,60,64,64,64,64,64,65,65,65,65,65,65,65,65,66,67,67,67,67,70,70,70,70,70,70,70,70,77,77,77,80,80,80,80,85,85,87,105,105,108,108,134,143,143,150,150,150,182,182,184,190,193,193,203,203,210,210,212,
Uttarakhand,UT,Rudraprayag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,6,6,8,8,8,22,22,22,24,28,29,35,42,43,43,46,46,48,52,52,56,60,60,62,62,62,62,65,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,69,70,70,70,73,76,77,79,80,81,87,87,91,93,101,102,105,108,112,112,
Uttarakhand,UT,Tehri Garhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,9,11,25,52,62,70,74,77,77,91,91,101,109,118,121,149,221,223,256,259,282,291,294,308,317,318,346,370,376,377,392,409,410,410,412,416,416,416,420,420,420,421,421,420,421,421,426,427,429,431,432,437,437,447,447,450,450,456,477,488,492,492,496,497,498,511,512,512,517,519,521,522,525,530,560,576,580,591,598,637,654,670,693,
