State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Uttarakhand,UT,Almora,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,11,11,18,22,47,60,62,62,67,67,71,71,72,72,73,73,73,74,74,74,75,84,95,108,115,146,148,153,153,158,158,163,164,165,165,175,177,179,179,179,179,192,192,196,198,200,200,200,200,200,200,200,202,202,202,211,211,211,213,213,247,247,247,247,269,283,283,283,286,291,295,318,320,323,
Uttarakhand,UT,Bageshwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,10,11,11,11,18,18,18,18,18,18,29,33,33,33,40,42,42,45,46,46,46,50,53,55,55,61,66,67,72,74,74,74,80,82,82,85,92,92,92,92,92,92,92,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,98,98,98,99,113,132,146,146,146,153,
Uttarakhand,UT,Chamoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,16,23,27,28,28,28,29,34,34,37,37,40,40,40,42,42,44,44,47,52,57,59,62,62,62,65,65,66,71,72,73,73,73,76,76,76,76,76,76,76,76,77,78,78,80,81,81,81,81,82,82,82,82,82,82,82,82,82,83,85,88,88,88,88,92,93,103,103,
Uttarakhand,UT,Champawat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,27,27,30,30,38,44,50,44,44,44,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,49,49,49,51,51,53,53,53,53,53,53,53,55,55,56,58,58,58,58,60,60,60,60,69,69,69,69,69,69,71,71,71,74,78,82,82,82,82,92,95,95,95,98,
Uttarakhand,UT,Dehradun,14,14,14,16,17,18,20,20,20,20,20,20,26,26,26,26,26,26,28,28,28,28,28,28,29,29,29,29,29,29,35,35,35,38,38,38,41,41,44,53,62,70,81,112,139,169,194,223,244,254,263,269,283,363,365,369,412,419,424,463,474,484,518,522,558,551,555,565,579,579,588,603,608,621,627,648,654,654,666,666,698,711,721,737,762,792,801,823,828,861,891,934,956,997,1039,1072,1167,1220,1264,1280,1335,1375,1411,1504,1552,1593,1612,1636,1653,1684,1731,
Uttarakhand,UT,Haridwar,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,29,37,44,45,45,54,75,75,83,83,83,95,98,113,113,116,116,126,134,150,150,150,150,154,154,236,241,268,281,281,286,293,300,300,301,301,301,301,305,305,306,311,318,318,327,330,332,339,339,341,353,358,372,372,372,514,515,522,575,660,785,872,925,1068,1147,1203,1262,1315,1361,1407,1529,
Uttarakhand,UT,Nainital,6,6,6,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,22,22,23,23,23,109,117,118,128,130,133,133,216,216,216,216,216,216,221,221,227,235,244,268,268,268,268,268,277,277,304,304,338,340,340,345,345,345,345,345,358,361,364,373,373,375,435,435,446,450,458,458,458,458,509,509,509,540,540,541,541,565,565,604,604,669,674,674,674,679,755,787,805,856,903,932,958,978,993,1028,
Uttarakhand,UT,Pauri Garhwal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,7,4,9,10,15,16,16,22,28,28,28,28,28,29,29,37,40,49,49,50,50,50,57,62,62,64,78,85,91,93,93,107,126,130,135,136,142,142,143,143,143,145,145,151,151,152,152,152,154,163,163,163,163,164,164,171,171,171,171,179,184,184,184,184,185,191,196,197,197,209,210,215,222,234,
Uttarakhand,UT,Pithoragarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,21,21,21,27,27,27,27,27,27,27,27,27,27,27,27,27,50,50,50,50,50,52,52,60,61,61,61,61,63,63,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,70,70,70,70,70,70,70,70,70,77,78,78,78,85,85,90,90,91,91,114,114,114,152,
Uttarakhand,UT,Rudraprayag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,23,23,23,23,23,23,33,39,39,39,39,39,39,39,39,39,46,56,59,59,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,68,68,70,76,76,76,76,76,87,87,87,
Uttarakhand,UT,Tehri Garhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,34,98,98,98,98,99,99,192,192,252,254,254,262,262,262,263,263,321,321,322,322,322,354,355,383,383,402,415,416,416,418,418,418,418,418,419,419,419,419,419,424,424,425,425,432,434,434,441,442,442,454,458,458,458,458,458,491,491,491,500,508,510,512,513,513,521,521,542,542,546,
