State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
West Bengal,WB,Alipurduar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,7,7,27,27,31,31,33,33,33,36,39,42,66,68,72,81,92,93,115,115,153,168,175,177,177,178,179,179,184,184,186,186,187,188,188,188,190,191,193,193,204,204,206,207,210,211,216,216,222,227,229,233,241,263,265,276,312,323,340,344,373,422,471,512,513,533,576,601,640,
West Bengal,WB,Bankura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,18,18,18,19,33,33,41,42,43,43,43,43,43,87,87,88,88,120,120,138,139,139,145,158,177,177,180,180,189,189,203,205,208,210,218,228,237,238,238,245,246,256,257,259,265,272,273,283,298,298,310,320,328,334,347,360,370,380,388,393,412,434,479,517,546,594,651,663,720,728,760,810,828,850,881,910,930,1010,1061,
West Bengal,WB,Birbhum,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,7,11,11,16,26,30,63,75,89,106,122,159,165,171,175,179,185,202,202,215,218,218,219,221,222,229,230,244,248,250,258,270,270,275,276,276,277,277,285,287,287,291,291,291,300,300,300,306,308,308,308,310,312,322,322,330,331,334,337,346,349,349,358,362,370,388,394,421,427,457,467,497,509,522,561,565,589,639,702,716,774,848,898,936,
West Bengal,WB,Cooch Behar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,36,50,67,67,69,70,70,211,211,212,212,212,232,253,264,264,264,266,266,281,289,289,296,296,300,300,304,304,304,305,305,305,305,308,308,308,310,310,314,315,315,318,318,355,359,359,378,386,394,400,432,440,467,479,494,515,534,557,570,643,740,748,758,825,962,995,1037,1062,1166,1214,1267,1358,
West Bengal,WB,Dakshin Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,6,18,19,32,33,33,33,35,35,35,35,35,35,35,35,50,57,69,70,70,70,77,78,97,100,132,141,142,148,158,183,190,192,192,201,214,214,214,217,222,230,230,282,282,308,311,312,330,378,437,454,539,628,767,777,790,805,839,908,930,966,996,1002,1062,1109,1121,1165,1180,1315,1373,1471,1568,1598,1642,1686,1771,
West Bengal,WB,Darjeeling,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,9,9,9,9,9,10,15,16,19,33,40,40,46,68,68,80,93,106,108,134,137,144,144,165,180,191,206,215,222,226,234,257,274,301,419,428,430,437,440,482,487,510,527,561,587,591,632,665,691,735,768,825,891,894,1009,1078,1123,1224,1259,1346,1390,1444,1514,1555,1673,1748,1821,1884,1918,2035,2049,2112,2304,2411,2470,2490,2584,2681,2764,2876,
West Bengal,WB,Hooghly,0,0,0,0,0,0,0,3,5,9,9,9,12,16,18,21,24,25,30,32,36,46,46,69,109,109,109,117,117,117,120,121,121,124,130,150,161,162,162,165,170,173,176,184,191,201,201,210,333,335,434,444,444,446,476,496,500,547,622,643,650,666,670,686,694,703,719,738,755,795,829,861,894,922,959,974,997,1057,1077,1133,1160,1181,1208,1306,1344,1391,1448,1492,1583,1648,1736,1872,2029,2122,2223,2313,2393,2495,2642,2727,2840,2908,2989,3113,3180,3239,3328,3456,3627,3715,3826,4030,4190,4281,
West Bengal,WB,Howrah,0,0,0,0,0,0,0,20,20,22,22,23,24,29,60,79,130,134,135,137,159,173,184,190,190,200,214,223,224,256,274,289,309,330,352,426,438,443,453,467,478,495,510,522,534,543,551,561,594,595,780,986,1249,1387,1399,1405,1493,1500,1509,1577,1634,1668,1701,1756,1793,1830,1875,1943,1974,2058,2170,2267,2341,2415,2462,2527,2581,2679,2744,2848,2925,2980,3070,3314,3369,3525,3687,3818,4048,4228,4418,4564,4768,4992,5204,5437,5664,5839,6081,6259,6394,6623,6837,6955,7111,7355,7624,7874,8083,8334,8521,8711,8910,9086,
West Bengal,WB,Jalpaiguri,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,9,12,12,14,23,44,60,60,77,92,114,115,137,139,152,172,182,200,234,243,244,258,268,280,290,294,310,313,321,324,329,345,346,355,377,378,387,390,396,406,415,449,479,541,553,555,592,627,649,734,762,840,872,901,940,1011,1080,1123,1154,1190,1199,1248,1260,1296,1373,1469,1508,1521,1579,1604,1675,1722,
West Bengal,WB,Jhargram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,25,25,25,25,25,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,31,36,36,38,38,62,63,63,63,90,92,
